,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,4,0,0,26,21,14,63.0,14730,#1a150e
1,9,0,1,50,42,27,121.0,31573,#322a1b
2,15,0,2,70,59,39,169.0,43003,#463b27
3,20,0,3,86,73,53,211.0,48190,#564935
4,24,0,4,105,88,54,247.0,33745,#695836
5,26,0,5,102,91,75,269.0,36377,#665b4b
6,29,0,6,124,105,69,298.0,37913,#7c6945
7,33,0,7,123,111,94,327.0,36374,#7b6f5e
8,35,0,8,144,123,85,352.0,35028,#907b55
9,37,0,9,141,129,112,383.0,34362,#8d8170
10,40,0,10,163,142,102,409.0,30835,#a38e66
11,43,0,11,158,148,134,439.0,27428,#9e9486
12,44,0,12,182,161,123,467.0,25552,#b6a17b
13,46,0,13,180,171,160,509.0,17968,#b4aba0
14,47,0,14,203,182,144,529.0,16929,#cbb690
15,48,0,15,215,200,178,593.0,16170,#d7c8b2
16,50,0,16,240,228,213,676.0,7521,#f0e4d5
17,2,1,0,12,21,4,40.0,26478,#0c1504
18,5,1,1,28,41,15,84.0,40627,#1c290f
19,10,1,2,39,54,33,126.0,33227,#273621
20,12,1,3,50,68,19,139.0,22980,#324413
21,16,1,4,55,73,46,175.0,38085,#37492e
22,19,1,5,73,94,35,202.0,22293,#495e23
23,21,1,6,71,89,62,221.0,36108,#47593e
24,25,1,7,90,108,61,258.0,38269,#5a6c3d
25,28,1,8,85,106,84,276.0,25585,#556a54
26,30,1,9,105,123,79,307.0,40614,#697b4f
27,31,1,10,113,145,51,310.0,6557,#719133
28,34,1,11,106,128,107,341.0,21863,#6a806b
29,36,1,12,124,142,96,362.0,27775,#7c8e60
30,41,1,13,133,153,128,412.0,21319,#859980
31,42,1,14,149,169,109,426.0,9463,#95a96d
32,45,1,15,163,180,154,494.0,12859,#a3b49a
33,49,1,16,203,216,196,610.0,4052,#cbd8c4
34,0,2,0,9,2,0,13.0,8576,#090200
35,1,2,1,22,13,0,36.0,9571,#160d00
36,3,2,2,34,23,3,60.0,9921,#221703
37,6,2,3,55,27,2,87.0,4217,#371b02
38,7,2,4,45,34,9,87.0,7651,#2d2209
39,8,2,5,61,43,15,117.0,8231,#3d2b0f
40,11,2,6,79,43,4,129.0,3141,#4f2b04
41,13,2,7,72,62,13,146.0,3578,#483e0d
42,14,2,8,80,52,23,154.0,5263,#503417
43,17,2,9,107,61,9,178.0,2640,#6b3d09
44,18,2,10,93,68,25,187.0,4864,#5d4419
45,22,2,11,114,77,31,223.0,3958,#724d1f
46,23,2,12,139,85,15,242.0,1117,#8b550f
47,27,2,13,137,91,41,270.0,2557,#895b29
48,32,2,14,166,110,48,320.0,1866,#a66e30
49,38,2,15,200,135,62,393.0,785,#c8873e
50,39,2,16,198,181,14,394.0,212,#c6b50e
