,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,3,0,0,7,4,1,13.0,13733,#070401
1,17,0,1,30,22,9,63.0,13644,#1e1609
2,21,0,2,49,38,20,108.0,18077,#312614
3,24,0,3,65,51,31,148.0,19144,#41331f
4,26,0,4,74,64,46,184.0,16051,#4a402e
5,28,0,5,93,71,46,211.0,12989,#5d472e
6,30,0,6,91,83,65,240.0,13881,#5b5341
7,32,0,7,113,92,64,269.0,10985,#715c40
8,33,0,8,110,102,85,299.0,11472,#6e6655
9,36,0,9,135,114,83,332.0,10096,#877253
10,38,0,10,131,123,106,360.0,8819,#837b6a
11,40,0,11,156,137,102,395.0,9918,#9c8966
12,42,0,12,154,146,132,431.0,6573,#9a9284
13,44,0,13,178,160,122,460.0,6373,#b2a07a
14,45,0,14,185,174,154,513.0,6372,#b9ae9a
15,48,0,15,209,199,181,586.0,4159,#d1c7b5
16,50,0,16,235,228,218,678.0,2444,#ebe4da
17,0,1,0,0,2,0,2.0,9289,#000200
18,1,1,1,0,5,0,6.0,10401,#000500
19,2,1,2,0,10,0,11.0,8855,#000a00
20,4,1,3,0,12,4,16.0,5496,#000c04
21,5,1,4,0,16,1,18.0,4501,#001001
22,6,1,5,1,17,5,24.0,5696,#011105
23,7,1,6,6,17,1,25.0,1591,#061101
24,8,1,7,3,23,1,27.0,2377,#031701
25,10,1,8,3,21,8,31.0,4932,#031508
26,11,1,9,7,26,7,39.0,2058,#071a07
27,12,1,10,10,29,1,40.0,1492,#0a1d01
28,13,1,11,2,30,11,44.0,907,#021e0b
29,14,1,12,12,37,6,54.0,1159,#0c2506
30,15,1,13,3,41,17,60.0,454,#032911
31,18,1,14,22,48,1,73.0,191,#163001
32,19,1,15,7,53,20,80.0,356,#073514
33,22,1,16,7,72,32,112.0,122,#074820
34,9,2,0,6,13,7,27.0,47040,#060d07
35,16,2,1,16,28,16,61.0,76237,#101c10
36,20,2,2,28,41,26,96.0,80097,#1c291a
37,23,2,3,40,53,36,129.0,79056,#283524
38,25,2,4,51,65,45,161.0,76369,#33412d
39,27,2,5,63,77,54,194.0,72482,#3f4d36
40,29,2,6,75,88,65,227.0,66153,#4b5841
41,31,2,7,87,100,75,262.0,56224,#57644b
42,34,2,8,99,112,90,300.0,42931,#63705a
43,35,2,9,115,130,76,321.0,19151,#73824c
44,37,2,10,115,128,105,347.0,34154,#738069
45,39,2,11,139,152,95,386.0,17032,#8b985f
46,41,2,12,132,144,122,398.0,26379,#84907a
47,43,2,13,153,165,138,455.0,24370,#99a58a
48,46,2,14,173,184,159,514.0,19202,#adb89f
49,47,2,15,199,210,178,585.0,12370,#c7d2b2
50,49,2,16,227,235,212,668.0,6146,#e3ebd4
