,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,1,0,0,10,0,0,10.0,72303,#0a0000
1,2,0,1,25,0,0,27.0,79182,#190000
2,3,0,2,40,1,0,43.0,78761,#280100
3,5,0,3,56,3,0,60.0,62464,#380300
4,6,0,4,76,6,0,82.0,40704,#4c0600
5,8,0,5,101,11,0,111.0,23886,#650b00
6,10,0,6,132,18,0,149.0,9365,#841200
7,0,1,0,0,0,0,1.0,10030,#000000
8,15,1,1,255,169,0,426.0,24204,#ffa900
9,16,1,2,255,148,51,453.0,5936,#ff9433
10,17,1,3,255,221,0,478.0,17241,#ffdd00
11,18,1,4,255,216,70,542.0,8617,#ffd846
12,19,1,5,255,252,124,626.0,6908,#fffc7c
13,20,1,6,255,255,203,713.0,3109,#ffffcb
14,4,2,0,32,5,4,43.0,77355,#200504
15,7,2,1,74,16,1,93.0,94301,#4a1001
16,9,2,2,115,28,0,145.0,91389,#731c00
17,11,2,3,156,41,0,199.0,86373,#9c2900
18,12,2,4,198,58,0,258.0,78649,#c63a00
19,13,2,5,238,80,0,320.0,73712,#ee5000
20,14,2,6,255,115,0,370.0,55511,#ff7300
