,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,0,0,0,10,11,6,25.0,67,#0a0b06
1,3,0,1,76,75,71,220.0,85,#4c4b47
2,15,0,2,114,130,125,373.0,173,#72827d
3,26,0,3,147,162,159,468.0,363,#93a29f
4,30,0,4,172,182,180,534.0,770,#acb6b4
5,34,0,5,189,196,194,579.0,1479,#bdc4c2
6,36,0,6,171,215,213,601.0,571,#abd7d5
7,38,0,7,202,207,206,615.0,2286,#cacfce
8,40,0,8,203,222,221,646.0,1601,#cbdedd
9,41,0,9,186,232,229,646.0,1244,#bae8e5
10,42,0,10,215,217,215,647.0,2686,#d7d9d7
11,44,0,11,225,226,224,675.0,2247,#e1e2e0
12,45,0,12,213,233,232,678.0,2137,#d5e9e8
13,46,0,13,225,242,241,707.0,2152,#e1f2f1
14,48,0,14,237,239,236,713.0,1162,#edefec
15,49,0,15,240,253,252,744.0,2438,#f0fdfc
16,50,0,16,255,255,255,765.0,667101,#ffffff
17,1,1,0,6,21,35,61.5,402,#061523
18,2,1,1,9,72,112,196.0,5100,#094870
19,4,1,2,28,84,122,234.0,8558,#1c547a
20,6,1,3,13,105,131,252.0,4347,#0d6983
21,7,1,4,42,97,132,270.0,10326,#2a6184
22,8,1,5,37,116,141,293.0,6946,#25748d
23,9,1,6,13,130,152,298.0,4496,#0d8298
24,10,1,7,55,110,144,309.0,9639,#376e90
25,12,1,8,42,138,162,340.0,2849,#2a8aa2
26,13,1,9,15,154,172,343.0,4369,#0f9aac
27,14,1,10,66,124,157,347.0,8379,#427c9d
28,17,1,11,27,173,187,386.0,3846,#1badbb
29,18,1,12,78,140,173,389.0,6317,#4e8cad
30,20,1,13,58,162,183,403.0,4853,#3aa2b7
31,23,1,14,82,171,189,440.0,4978,#52abbd
32,24,1,15,59,188,198,444.0,4185,#3bbcc6
33,28,1,16,91,199,206,491.0,3146,#5bc7ce
34,5,2,0,60,83,99,245.0,769,#3c5363
35,11,2,1,78,112,135,327.0,4001,#4e7087
36,16,2,2,96,122,156,374.0,16769,#607a9c
37,19,2,3,109,130,159,399.0,15798,#6d829f
38,21,2,4,97,147,178,424.0,3979,#6193b2
39,22,2,5,124,141,164,430.0,14143,#7c8da4
40,25,2,6,139,154,171,464.0,14194,#8b9aab
41,27,2,7,112,177,190,478.0,5677,#70b1be
42,29,2,8,154,166,180,500.0,14718,#9aa6b4
43,31,2,9,131,199,206,536.0,4040,#83c7ce
44,32,2,10,168,180,190,538.0,15999,#a8b4be
45,33,2,11,181,193,201,575.0,19779,#b5c1c9
46,35,2,12,158,219,222,597.0,3204,#9edbde
47,37,2,13,191,205,211,608.0,25466,#bfcdd3
48,39,2,14,201,216,221,638.0,28136,#c9d8dd
49,43,2,15,211,227,231,669.0,22234,#d3e3e7
50,47,2,16,224,240,244,708.0,9796,#e0f0f4
