,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,0,0,0,17,26,12,58.0,61881,#111a0c
1,2,0,1,42,56,34,130.0,74379,#2a3822
2,4,0,2,71,86,51,209.0,68060,#475633
3,6,0,3,100,116,71,288.0,67457,#647447
4,8,0,4,129,145,93,367.0,59116,#81915d
5,10,0,5,160,173,127,456.0,37777,#a0ad7f
6,12,0,6,201,211,176,583.0,12508,#c9d3b0
7,1,1,0,38,26,14,80.0,66900,#261a0e
8,3,1,1,74,56,37,167.0,100972,#4a3825
9,5,1,2,105,85,61,250.0,111966,#69553d
10,7,1,3,136,115,81,333.0,116784,#887351
11,9,1,4,164,142,108,411.0,106152,#a48e6c
12,11,1,5,194,170,139,502.0,76472,#c2aa8b
13,13,1,6,226,206,180,608.0,39576,#e2ceb4
