,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,0,0,0,18,27,13,61.0,66011,#121b0d
1,2,0,1,44,58,35,136.0,78925,#2c3a23
2,4,0,2,73,90,53,217.0,76575,#495a35
3,6,0,3,101,119,74,296.0,83071,#65774a
4,8,0,4,127,145,97,369.0,78472,#7f9161
5,10,0,5,158,172,125,451.0,45396,#9eac7d
6,12,0,6,200,209,174,578.0,14105,#c8d1ae
7,1,1,0,40,27,13,82.0,55047,#281b0d
8,3,1,1,77,58,36,173.0,89475,#4d3a24
9,5,1,2,108,87,61,256.0,102249,#6c573d
10,7,1,3,139,117,81,338.0,108124,#8b7551
11,9,1,4,166,144,108,416.0,95682,#a6906c
12,11,1,5,196,174,138,506.0,72853,#c4ae8a
13,13,1,6,227,207,181,612.0,34015,#e3cfb5
