,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,0,0,0,19,28,13,62.0,70390,#131c0d
1,2,0,1,45,59,34,138.0,87312,#2d3b22
2,4,0,2,73,92,52,218.0,88420,#495c34
3,6,0,3,100,121,73,295.0,96138,#647949
4,8,0,4,127,147,97,370.0,89946,#7f9361
5,10,0,5,159,176,124,455.0,55089,#9fb07c
6,12,0,6,200,215,181,591.0,18795,#c8d7b5
7,1,1,0,38,26,12,79.0,49208,#261a0c
8,3,1,1,79,59,34,174.0,75154,#4f3b22
9,5,1,2,111,88,59,258.0,85867,#6f583b
10,7,1,3,141,119,79,340.0,94657,#8d774f
11,9,1,4,167,144,106,416.0,85889,#a7906a
12,11,1,5,196,174,136,505.0,69538,#c4ae88
13,13,1,6,226,207,179,610.0,33597,#e2cfb3
