,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,0,0,0,30,23,12,67.0,60404,#1e170c
1,3,0,1,72,57,37,168.0,72239,#483925
2,5,0,2,107,88,61,257.0,86502,#6b583d
3,6,0,3,139,120,81,341.0,97152,#8b7851
4,9,0,4,166,145,109,419.0,85878,#a6916d
5,11,0,5,196,175,139,509.0,67107,#c4af8b
6,13,0,6,227,208,183,615.0,30950,#e3d0b7
7,1,1,0,23,36,15,77.0,80068,#17240f
8,2,1,1,54,71,39,163.0,92639,#364727
9,4,1,2,86,107,60,254.0,104109,#566b3c
10,7,1,3,123,145,73,341.0,71547,#7b9149
11,8,1,4,113,132,104,349.0,59689,#718468
12,10,1,5,155,173,115,442.0,69452,#9bad73
13,12,1,6,196,212,170,573.0,22264,#c4d4aa
