,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,1,0,0,3,12,0,17.0,7365,#030c00
1,5,0,1,16,29,6,51.0,11329,#101d06
2,10,0,2,31,40,5,78.0,7824,#1f2805
3,12,0,3,25,52,17,93.0,6605,#193411
4,17,0,4,46,58,12,115.0,8850,#2e3a0c
5,22,0,5,44,74,25,141.0,6344,#2c4a19
6,23,0,6,62,75,20,156.0,7561,#3e4b14
7,29,0,7,58,94,33,184.0,6955,#3a5e21
8,32,0,8,79,93,29,199.0,6526,#4f5d1d
9,37,0,9,74,115,42,228.0,6850,#4a732a
10,39,0,10,97,112,36,244.0,5572,#617024
11,45,0,11,90,135,50,272.0,5263,#5a8732
12,46,0,12,115,130,45,289.0,4656,#73822d
13,53,0,13,112,160,59,328.0,3057,#70a03b
14,55,0,14,134,150,56,339.0,3069,#869638
15,63,0,15,142,189,68,398.0,3098,#8ebd44
16,71,0,16,165,220,76,457.0,2644,#a5dc4c
17,8,1,0,27,23,16,68.0,19490,#1b1710
18,20,1,1,54,46,33,134.0,23930,#362e21
19,30,1,2,78,64,47,189.0,32110,#4e402f
20,38,1,3,100,80,53,233.0,25438,#645035
21,43,1,4,100,88,73,261.0,22175,#645849
22,48,1,5,123,99,67,290.0,26913,#7b6343
23,52,1,6,121,108,90,320.0,22248,#796c5a
24,58,1,7,145,118,83,347.0,26717,#917653
25,60,1,8,141,127,107,376.0,21713,#8d7f6b
26,64,1,9,164,136,100,402.0,26294,#a48864
27,67,1,10,159,146,125,431.0,19453,#9f927d
28,70,1,11,182,155,118,456.0,23158,#b69b76
29,73,1,12,180,167,145,492.0,17807,#b4a791
30,76,1,13,199,178,131,509.0,18459,#c7b283
31,77,1,14,206,187,159,552.0,19203,#cebb9f
32,80,1,15,226,206,180,610.0,12526,#e2ceb4
33,83,1,16,246,229,209,680.0,5878,#f6e5d1
34,2,2,0,15,3,0,21.0,4284,#0f0300
35,4,2,1,28,20,3,51.0,5015,#1c1403
36,6,2,2,41,14,0,58.0,2595,#290e00
37,11,2,3,41,31,8,79.0,5156,#291f08
38,13,2,4,61,30,1,95.0,3154,#3d1e01
39,15,2,5,56,42,13,111.0,5052,#382a0d
40,18,2,6,82,44,5,133.0,2533,#522c05
41,21,2,7,73,48,21,141.0,4356,#493015
42,26,2,8,80,66,18,163.0,1775,#504212
43,27,2,9,91,58,27,176.0,3815,#5b3a1b
44,28,2,10,105,61,10,177.0,1851,#693d0a
45,34,2,11,108,72,31,211.0,3599,#6c481f
46,36,2,12,131,78,18,227.0,1203,#834e12
47,41,2,13,127,84,39,250.0,2551,#7f5427
48,47,2,14,149,98,45,290.0,2141,#95622d
49,54,2,15,172,114,54,338.0,1252,#ac7236
50,65,2,16,202,138,65,402.0,561,#ca8a41
51,0,3,0,4,4,7,15.0,3102,#040407
52,3,3,1,15,15,17,47.0,5774,#0f0f11
53,9,3,2,23,25,27,75.0,3856,#17191b
54,14,3,3,32,36,39,107.0,3986,#202427
55,19,3,4,40,45,49,133.0,4102,#282d31
56,25,3,5,49,54,58,160.0,3555,#31363a
57,31,3,6,60,64,67,191.0,2777,#3c4043
58,35,3,7,71,76,79,225.0,2410,#474c4f
59,44,3,8,82,89,92,263.0,2390,#52595c
60,50,3,9,95,102,106,302.0,2088,#5f666a
61,57,3,10,111,117,120,345.0,1810,#6f7578
62,62,3,11,127,133,136,393.0,1357,#7f8588
63,69,3,12,146,150,152,448.0,1092,#929698
64,74,3,13,169,170,170,508.0,1000,#a9aaaa
65,78,3,14,187,193,192,569.0,937,#bbc1c0
66,81,3,15,212,214,214,634.0,511,#d4d6d6
67,84,3,16,248,253,244,742.0,424,#f8fdf4
68,7,4,0,18,25,17,62.0,22638,#121911
69,16,4,1,34,45,32,111.0,34184,#222d20
70,24,4,2,51,63,44,158.0,36649,#333f2c
71,33,4,3,67,82,54,204.0,38640,#435236
72,40,4,4,78,94,73,245.0,29016,#4e5e49
73,42,4,5,90,108,60,260.0,30068,#5a6c3c
74,49,4,6,94,112,88,295.0,34298,#5e7058
75,51,4,7,112,129,73,315.0,30781,#708149
76,56,4,8,111,129,103,343.0,34179,#6f8167
77,59,4,9,131,147,88,365.0,29434,#839358
78,61,4,10,128,145,118,391.0,30174,#809176
79,66,4,11,151,166,102,417.0,23423,#97a666
80,68,4,12,149,163,132,445.0,22283,#95a384
81,72,4,13,174,189,120,480.0,13902,#aebd78
82,75,4,14,172,184,151,508.0,14114,#acb897
83,79,4,15,196,210,170,574.0,11288,#c4d2aa
84,82,4,16,221,236,208,661.0,5785,#ddecd0
