,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,1,0,0,35,26,11,73.0,47368,#231a0b
1,7,0,1,86,74,31,190.0,54506,#564a1f
2,11,0,2,121,105,52,278.0,64930,#796934
3,13,0,3,161,137,81,377.0,46220,#a18951
4,4,1,0,49,58,37,145.0,51137,#313a25
5,10,1,1,96,106,72,274.0,59486,#606a48
6,14,1,2,144,153,113,409.0,51864,#909971
7,18,1,3,193,202,168,558.0,26182,#c1caa8
8,2,2,0,34,34,32,100.0,25666,#222220
9,8,2,1,87,87,74,248.0,13857,#57574a
10,16,2,2,145,146,133,423.0,10450,#919285
11,19,2,3,200,200,195,593.0,7117,#c8c8c3
12,0,3,0,19,30,4,54.0,11268,#131e04
13,3,3,1,42,58,17,116.0,13683,#2a3a11
14,6,3,2,72,88,31,189.0,10614,#48581f
15,9,3,3,107,122,48,273.0,3657,#6b7a30
16,5,4,0,61,54,44,160.0,123985,#3d362c
17,12,4,1,106,96,80,283.0,165615,#6a6050
18,15,4,2,152,141,120,415.0,139968,#988d78
19,17,4,3,196,186,171,551.0,72427,#c4baab
