,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,5,0,0,58,51,41,151.0,126786,#3a3329
1,11,0,1,104,93,78,275.0,166758,#685d4e
2,15,0,2,151,139,118,409.0,132164,#978b76
3,17,0,3,196,185,170,548.0,66066,#c4b9aa
4,3,1,0,41,50,32,124.0,55587,#293220
5,9,1,1,84,97,64,246.0,57544,#546140
6,14,1,2,136,149,109,395.0,40811,#88956d
7,18,1,3,191,203,167,554.0,25202,#bfcba7
8,1,2,0,32,24,10,67.0,49486,#20180a
9,6,2,1,84,72,29,184.0,51830,#54481d
10,10,2,2,120,104,51,274.0,63807,#786833
11,13,2,3,159,136,79,373.0,46347,#9f884f
12,2,3,0,31,31,30,93.0,32682,#1f1f1e
13,8,3,1,79,79,72,230.0,15455,#4f4f48
14,16,3,2,141,141,134,416.0,9976,#8d8d86
15,19,3,3,199,200,199,596.0,7504,#c7c8c7
16,0,4,0,20,32,4,58.0,14000,#142004
17,4,4,1,46,67,17,129.0,19322,#2e4311
18,7,4,2,78,103,30,208.0,13549,#4e671e
19,12,4,3,120,159,49,321.0,5124,#789f31
