,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,3,0,0,40,50,30,123.0,50308,#28321e
1,9,0,1,84,98,57,241.0,63951,#546239
2,14,0,2,125,142,95,361.0,45601,#7d8e5f
3,17,0,3,177,194,148,510.0,22332,#b1c294
4,5,1,0,60,52,40,153.0,122657,#3c3428
5,11,1,1,105,93,75,274.0,175100,#695d4b
6,15,1,2,152,138,112,404.0,147990,#988a70
7,18,1,3,198,184,166,544.0,60554,#c6b8a6
8,1,2,0,31,22,7,62.0,48392,#1f1607
9,6,2,1,75,61,26,162.0,51153,#4b3d1a
10,10,2,2,112,97,44,251.0,63054,#70612c
11,13,2,3,149,127,69,344.0,43000,#957f45
12,0,3,0,19,33,2,56.0,16324,#132102
13,4,3,1,47,68,14,128.0,23856,#2f440e
14,7,3,2,78,102,27,204.0,19559,#4e661b
15,12,3,3,115,152,41,302.0,6794,#739829
16,2,4,0,27,28,27,82.0,14721,#1b1c1b
17,8,4,1,79,80,71,231.0,10762,#4f5047
18,16,4,2,142,142,136,419.0,7949,#8e8e88
19,19,4,3,199,200,200,598.0,5943,#c7c8c8
