,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,5,0,0,50,59,38,150.0,50556,#323b26
1,10,0,1,91,104,74,271.0,71464,#5b684a
2,14,0,2,132,148,114,393.0,65779,#849472
3,17,0,3,181,196,159,530.0,32638,#b5c49f
4,6,1,0,61,53,45,161.0,160422,#3d352d
5,11,1,1,103,93,80,276.0,189132,#675d50
6,16,1,2,151,136,117,404.0,160204,#978875
7,18,1,3,203,185,164,548.0,83592,#cbb9a4
8,2,2,0,39,40,36,117.0,18474,#272824
9,9,2,1,87,87,80,254.0,21768,#575750
10,15,2,2,134,135,127,396.0,15195,#86877f
11,19,2,3,206,206,198,610.0,4771,#cecec6
12,0,3,0,19,27,1,51.0,13583,#131b01
13,3,3,1,47,60,16,122.0,17480,#2f3c10
14,7,3,2,74,93,33,197.0,10609,#4a5d21
15,13,3,3,123,152,58,330.0,1691,#7b983a
16,1,4,0,30,21,7,59.0,27757,#1e1507
17,4,4,1,60,49,23,131.0,28681,#3c3117
18,8,4,2,100,80,43,222.0,18359,#64502b
19,12,4,3,142,117,68,324.0,7845,#8e7544
