,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,5,0,0,45,58,37,141.398361317223,89218,#2d3a25
1,10,0,1,87,105,72,265.8279334602079,129787,#576948
2,12,0,2,127,147,112,387.2859800456268,102133,#7f9370
3,16,0,3,182,198,167,549.0292284757692,40919,#b6c6a7
4,4,1,0,53,43,25,121.32587175673443,121020,#352b19
5,9,1,1,103,91,63,258.1830178509147,157695,#675b3f
6,13,1,2,150,136,109,395.9674243028033,138017,#96886d
7,17,1,3,201,189,168,558.8575172643315,72114,#c9bda8
8,1,2,0,27,30,36,94.62288838980568,10241,#1b1e24
9,7,2,1,75,78,86,240.950450964722,8759,#4b4e56
10,14,2,2,126,130,140,398.00401710509266,7717,#7e828c
11,18,2,3,183,190,201,575.4468864468864,3822,#b7bec9
12,2,3,0,38,38,24,101.2137473281584,8889,#262618
13,8,3,1,89,89,66,245.96288463571958,9457,#595942
14,15,3,2,141,142,121,404.67909288598946,6438,#8d8e79
15,19,3,3,209,210,192,612.6083142639206,2622,#d1d2c0
16,0,4,0,18,30,5,55.08107412491421,23312,#121e05
17,3,4,1,43,61,14,119.17817123754101,32306,#2b3d0e
18,6,4,2,68,90,25,185.18653475814673,26483,#445a19
19,11,4,3,101,128,44,273.8996795934151,9051,#65802c
