,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,6,0,0,63,53,41,160.0,88799,#3f3529
1,12,0,1,108,98,78,286.0,122584,#6c624e
2,16,0,2,156,143,118,415.0,118427,#9c8f76
3,18,0,3,202,189,169,557.0,61536,#cabda9
4,5,1,0,47,61,37,148.0,89164,#2f3d25
5,11,1,1,87,105,72,265.0,130435,#576948
6,14,1,2,126,146,111,382.0,102208,#7e926f
7,17,1,3,178,195,163,532.0,41298,#b2c3a3
8,1,2,0,35,25,6,67.0,28977,#231906
9,4,2,1,70,58,19,146.0,31917,#463a13
10,8,2,2,106,91,36,230.0,28180,#6a5b24
11,13,2,3,141,122,60,320.0,19154,#8d7a3c
12,0,3,0,19,32,4,58.0,22654,#132004
13,3,3,1,43,60,15,118.0,31605,#2b3c0f
14,7,3,2,67,89,27,181.0,26490,#43591b
15,9,3,3,97,121,43,255.0,9138,#61792b
16,2,4,0,31,34,38,105.0,15508,#1f2226
17,10,4,1,83,85,88,257.0,14035,#535558
18,15,4,2,135,138,140,414.0,12143,#878a8c
19,19,4,3,194,197,199,586.0,5748,#c2c5c7
