,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,2,0,0,27,63,31,126.0,24121,#1b3f1f
1,6,0,1,31,159,26,221.0,22239,#1f9f1a
2,7,0,2,95,127,1,252.0,20396,#5f7f01
3,10,0,3,23,127,95,254.0,21613,#177f5f
4,15,0,4,31,255,31,287.0,20518,#1fff1f
5,16,0,5,95,128,82,292.0,19146,#5f8052
6,20,0,6,31,223,95,349.0,30352,#1fdf5f
7,24,0,7,127,223,31,379.0,30007,#7fdf1f
8,28,0,8,95,159,127,413.0,20344,#5f9f7f
9,30,0,9,159,191,63,417.0,21711,#9fbf3f
10,32,0,10,31,223,190,445.0,28543,#1fdfbe
11,37,0,11,123,255,126,476.0,19171,#7bff7e
12,38,0,12,223,255,31,477.0,20209,#dfff1f
13,40,0,13,159,191,159,510.0,20511,#9fbf9f
14,46,0,14,95,255,223,572.0,16515,#5fffdf
15,47,0,15,223,255,127,604.0,17504,#dfff7f
16,50,0,16,191,255,223,668.0,20784,#bfffdf
17,1,1,0,30,31,94,126.0,20697,#1e1f5e
18,3,1,1,1,31,158,191.0,23209,#011f9e
19,8,1,2,95,30,159,253.0,16396,#5f1e9f
20,12,1,3,63,64,127,255.0,15433,#3f407f
21,14,1,4,30,31,254,286.0,18940,#1e1ffe
22,17,1,5,94,31,192,316.0,16244,#5e1fc0
23,18,1,6,31,127,190,347.0,20703,#1f7fbe
24,23,1,7,0,127,231,379.0,13644,#007fe7
25,25,1,8,127,95,160,382.0,20798,#7f5fa0
26,27,1,9,134,31,228,391.0,21891,#861fe4
27,29,1,10,94,95,254,414.0,20615,#5e5ffe
28,35,1,11,31,191,254,456.0,19617,#1fbffe
29,36,1,12,195,6,233,457.0,10832,#c306e9
30,41,1,13,159,159,222,510.0,16907,#9f9fde
31,43,1,14,191,95,254,541.0,20450,#bf5ffe
32,45,1,15,96,191,254,542.0,13838,#60bffe
33,48,1,16,191,191,255,637.0,15197,#bfbfff
34,0,2,0,63,1,1,94.0,15480,#3f0101
35,4,2,1,95,62,32,191.0,15148,#5f3e20
36,5,2,2,159,1,1,191.0,15281,#9f0101
37,9,2,3,159,0,94,253.0,19311,#9f005e
38,11,2,4,159,95,1,254.0,17759,#9f5f01
39,13,2,5,254,1,31,286.0,20361,#fe011f
40,19,2,6,159,95,95,348.0,23196,#9f5f5f
41,21,2,7,255,95,31,351.0,20636,#ff5f1f
42,22,2,8,191,30,134,379.0,24565,#bf1e86
43,26,2,9,195,157,31,383.0,16651,#c39d1f
44,31,2,10,191,127,128,445.0,19398,#bf7f80
45,33,2,11,254,95,127,446.0,21721,#fe5f7f
46,34,2,12,255,28,192,449.0,13865,#ff1cc0
47,39,2,13,255,191,31,477.0,16794,#ffbf1f
48,42,2,14,254,190,127,541.0,22352,#febe7f
49,44,2,15,255,95,192,541.0,20512,#ff5fc0
50,49,2,16,255,191,222,637.0,17875,#ffbfde
