,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,2,0,0,31,47,26,36.38271711195606,59175,#1f2f1a
1,8,0,1,54,73,40,62.64716111860824,61505,#364928
2,14,0,2,73,94,53,82.22874295979305,62626,#495e35
3,19,0,3,92,113,59,99.42912807989258,41706,#5c713b
4,20,0,4,91,116,86,104.14251064725556,50830,#5b7456
5,26,0,5,109,131,73,117.72640011694277,35915,#6d8349
6,30,0,6,120,143,105,130.70715965584716,49571,#788f69
7,32,0,7,130,153,79,137.38397130358706,12573,#82994f
8,37,0,8,152,173,100,156.8687636615462,11913,#98ad64
9,38,0,9,145,168,140,157.33846372509885,27559,#91a88c
10,43,0,10,183,200,126,184.41652207068483,6819,#b7c87e
11,46,0,11,198,216,188,205.5138062546617,9385,#c6d8bc
12,0,1,0,33,19,3,18.261548494530487,18466,#211303
13,3,1,1,58,38,8,40.42443183255659,12016,#3a2608
14,6,1,2,79,53,13,56.56453196541913,9138,#4f350d
15,10,1,3,111,62,9,70.70897199178644,2435,#6f3e09
16,12,1,4,95,71,26,72.99036967095851,6291,#5f471a
17,16,1,5,123,84,35,89.70139537663509,4434,#7b5423
18,18,1,6,143,84,14,94.02086686217008,1023,#8f540e
19,24,1,7,151,100,45,109.18895891797555,2865,#97642d
20,29,1,8,178,126,19,128.701697492163,319,#b27e13
21,31,1,9,180,121,56,130.968515936827,1393,#b47938
22,39,1,10,211,149,67,157.60648894389436,606,#d39543
23,45,1,11,224,199,29,186.67754814814813,108,#e0c71d
24,4,2,0,53,45,27,41.594374051957935,42034,#352d1b
25,9,2,1,81,69,42,68.727903873232,47299,#51452a
26,15,2,2,103,88,54,88.08968165389145,51793,#675836
27,21,2,3,123,105,66,104.60936756136782,42286,#7b6942
28,25,2,4,131,117,91,117.42177764737832,51551,#83755b
29,27,2,5,148,125,76,126.73256139096702,18045,#947d4c
30,33,2,6,155,140,104,139.3767791584032,50927,#9b8c68
31,35,2,7,183,143,90,148.79809719059588,6763,#b78f5a
32,40,2,8,178,161,122,160.16285369947002,38492,#b2a17a
33,41,2,9,217,173,109,177.72657692307692,2730,#d9ad6d
34,42,2,10,204,185,145,183.7725945726316,23750,#ccb991
35,47,2,11,232,214,176,215.92651455054215,14295,#e8d6b0
36,1,3,0,17,33,3,21.480370179879362,37136,#112103
37,5,3,1,34,54,8,42.29008665043328,27926,#223608
38,7,3,2,49,72,12,57.91894943362739,19157,#31480c
39,11,3,3,63,87,25,72.51757216442343,13745,#3f5719
40,13,3,4,70,100,7,79.70212049362173,3606,#466407
41,17,3,5,81,106,31,89.84132161087172,9051,#516a1f
42,22,3,6,96,132,10,106.48917464887641,1424,#60840a
43,23,3,7,98,126,40,107.7998083654041,4937,#627e28
44,28,3,8,117,150,45,127.8843277094972,2685,#75962d
45,34,3,9,144,171,10,144.0228410852713,387,#90ab0a
46,36,3,10,143,177,55,152.39319321872014,1047,#8fb137
47,44,3,11,191,209,50,185.098527756654,263,#bfd132
