,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,4,0,0,58,49,28,43.8980221548835,49831,#3a311c
1,11,0,1,86,72,43,72.02529204533913,49229,#56482b
2,16,0,2,107,91,56,91.0147330418295,51686,#6b5b38
3,21,0,3,126,108,67,107.19908843780759,41653,#7e6c43
4,26,0,4,135,120,90,120.03659402136932,54377,#87785a
5,29,0,5,154,128,77,129.96386583488004,14547,#9a804d
6,33,0,6,159,142,105,141.60696899027374,49865,#9f8e69
7,35,0,7,189,145,91,151.7059262111067,5078,#bd915b
8,40,0,8,181,163,123,161.9652492392306,35819,#b5a37b
9,42,0,9,222,178,111,182.05595938989512,2098,#deb26f
10,44,0,10,206,186,146,184.79480830083318,22564,#ceba92
11,47,0,11,233,214,175,216.2734889619302,13843,#e9d6af
12,1,1,0,18,35,4,21.796400213963068,37857,#122304
13,3,1,1,34,54,8,42.3085362431335,25122,#223608
14,6,1,2,48,70,12,56.666953190899,18020,#30460c
15,10,1,3,61,86,17,70.35667438269301,13405,#3d5611
16,14,1,4,75,100,29,84.16022565284177,9765,#4b641d
17,17,1,5,81,113,8,91.16606770789362,2369,#517108
18,20,1,6,92,120,35,102.02181165980795,5832,#5c7823
19,27,1,7,111,148,11,120.75609095674967,763,#6f940b
20,28,1,8,111,142,44,121.57473394123606,2961,#6f8e2c
21,34,1,9,136,170,51,145.9197788433382,1366,#88aa33
22,36,1,10,161,182,10,155.18141088435374,294,#a1b60a
23,41,1,11,185,207,60,181.99280759493672,316,#b9cf3c
24,2,2,0,36,53,28,39.868222394925304,74566,#24351c
25,9,2,1,59,80,44,68.11754528379895,67724,#3b502c
26,15,2,2,80,101,51,87.35747263986197,47529,#506533
27,19,2,3,84,110,74,96.5030745037829,54059,#546e4a
28,22,2,4,101,123,62,109.16607669557405,28943,#657b3e
29,24,2,5,107,130,88,116.82975089188541,54211,#6b8258
30,30,2,6,126,149,75,132.85269626929673,13992,#7e954b
31,32,2,7,126,149,107,135.7320737245082,41533,#7e956b
32,37,2,8,151,173,95,156.9934613957778,9758,#97ad5f
33,39,2,9,149,172,138,159.8403300652859,26652,#95ac8a
34,43,2,10,183,201,123,184.65467386117135,5532,#b7c97b
35,46,2,11,198,217,184,205.50403447646102,9856,#c6d9b8
36,0,3,0,38,23,4,20.289301336069094,20957,#261704
37,5,3,1,64,42,8,44.2422325597627,11462,#402a08
38,7,3,2,81,61,19,61.49000702822357,7228,#513d13
39,8,3,3,100,55,6,62.76232971784537,2729,#643706
40,12,3,4,105,75,28,78.33045076578259,5354,#694b1c
41,13,3,5,131,75,10,83.88587900763359,1310,#834b0a
42,18,3,6,131,88,37,94.94099972059234,3579,#835825
43,23,3,7,156,103,47,112.39566498866213,2205,#9c672f
44,25,3,8,171,113,15,118.08867546296295,432,#ab710f
45,31,3,9,184,123,55,133.26289931093885,1161,#b87b37
46,38,3,10,215,150,66,159.35705613305612,481,#d79642
47,45,3,11,223,201,30,188.1932172413793,87,#dfc91e
