,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,2,0,0,36,53,28,40.04021659798229,74738,#24351c
1,8,0,1,59,80,43,68.00231119797654,65235,#3b502b
2,14,0,2,78,100,55,87.3714715036631,67156,#4e6437
3,20,0,3,96,118,63,103.81269749308117,43360,#60763f
4,23,0,4,100,124,89,111.07676888587876,59060,#647c59
5,27,0,5,116,139,73,123.95455575856,22167,#748b49
6,31,0,6,125,148,107,134.68057652388248,45033,#7d946b
7,33,0,7,137,160,83,143.95151050713318,9603,#89a053
8,39,0,8,149,172,142,160.09518301708525,25402,#95ac8e
9,40,0,9,158,179,104,162.65573872725165,8627,#9eb368
10,44,0,10,188,206,131,188.92466317321689,5496,#bcce83
11,46,0,11,199,219,193,207.86108268496417,8380,#c7dbc1
12,5,1,0,57,48,28,43.52536487979072,48166,#39301c
13,10,1,1,85,72,43,71.33732044582685,48225,#55482b
14,17,1,2,106,90,55,90.11164998229532,50834,#6a5a37
15,21,1,3,125,106,66,106.07582984488465,40486,#7d6a42
16,24,1,4,134,119,90,118.79734803287222,53784,#86775a
17,28,1,5,151,125,76,127.8034355742297,14994,#977d4c
18,32,1,6,157,141,103,140.16929787656798,49825,#9d8d67
19,35,1,7,187,142,90,149.3571572625698,5370,#bb8e5a
20,38,1,8,179,161,121,160.09283474844455,37288,#b3a179
21,41,1,9,220,175,110,179.83122047146404,2418,#dcaf6e
22,42,1,10,203,184,144,182.81270431229208,24349,#cbb890
23,47,1,11,232,213,174,215.66007408575456,14903,#e8d5ae
24,1,2,0,18,34,3,21.5770593421617,37304,#122203
25,3,2,1,33,54,8,42.002391790544536,25361,#213608
26,6,2,2,47,70,12,56.424531290447476,18079,#2f460c
27,9,2,3,61,85,18,70.23113266877789,13894,#3d5512
28,13,2,4,75,100,30,84.58768248940677,9440,#4b641e
29,15,2,5,78,111,7,88.9473785185185,2565,#4e6f07
30,19,2,6,93,121,35,102.3976109737249,5823,#5d7923
31,25,2,7,109,146,11,118.88680731132075,848,#6d920b
32,26,2,8,112,143,45,122.30591779286927,2945,#708f2d
33,34,2,9,137,172,51,147.05545688212928,1315,#89ac33
34,36,2,10,156,180,10,152.40643979933108,299,#9cb40a
35,43,2,11,190,209,55,184.36079379562042,274,#bed137
36,0,3,0,36,21,3,19.08869313625725,19654,#241503
37,4,3,1,60,40,8,42.239607661605206,11525,#3c2808
38,7,3,2,81,54,13,57.44641910194174,8240,#51360d
39,11,3,3,113,63,8,71.50698071770334,2090,#713f08
40,12,3,4,97,71,26,73.55794024368709,5663,#61471a
41,16,3,5,123,83,34,89.64197338345865,3990,#7b5322
42,18,3,6,145,86,14,95.20915608899297,854,#91560e
43,22,3,7,150,99,45,108.3616704225352,2556,#96632d
44,29,3,8,181,123,19,128.03832636363637,330,#b57b13
45,30,3,9,178,119,55,129.1181789781022,1370,#b27737
46,37,3,10,211,146,65,155.9435852173913,575,#d39241
47,45,3,11,226,202,34,189.86816261682245,107,#e2ca22
