,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,5,0,0,37,31,20,32.1581907550077,21417,#251f14
1,12,0,1,64,55,37,56.46134949410422,39435,#403725
2,19,0,2,88,76,52,77.06678476759681,49526,#584c34
3,26,0,3,107,94,69,95.21714225163842,53863,#6b5e45
4,30,0,4,130,112,73,113.14886599000957,37636,#827049
5,32,0,5,127,116,99,117.72577246601942,38625,#7f7463
6,36,0,6,154,133,92,135.46725730475072,35826,#9a855c
7,37,0,7,151,140,123,141.4472067893809,35747,#978c7b
8,41,0,8,183,160,115,162.14166365090793,25002,#b7a073
9,43,0,9,174,164,149,165.77512011748718,22811,#aea495
10,45,0,10,206,190,160,192.00823984980272,21039,#cebea0
11,47,0,11,232,221,202,222.29365932258412,9241,#e8ddca
12,1,1,0,6,14,1,10.42329452270621,10790,#060e01
13,3,1,1,16,29,4,23.037889195347162,16678,#101d04
14,7,1,2,26,43,7,34.45742598592278,19322,#1a2b07
15,9,1,3,37,56,11,45.696921840899165,18328,#25380b
16,13,1,4,48,69,20,57.52743667776852,12010,#304514
17,15,1,5,51,76,5,60.84966888056476,6941,#334c05
18,17,1,6,63,85,24,72.20551220992209,12195,#3f5518
19,21,1,7,77,107,9,87.06977445047102,3503,#4d6b09
20,23,1,8,78,103,32,87.76179758239115,8314,#4e6720
21,28,1,9,96,125,36,106.54305133191697,6119,#607d24
22,34,1,10,119,152,43,130.29598188830607,3241,#77982b
23,42,1,11,160,187,47,163.14604657947686,994,#a0bb2f
24,4,2,0,22,33,20,28.76656511432767,33369,#162114
25,10,2,1,42,58,35,51.146621246878006,52050,#2a3a23
26,16,2,2,61,79,50,70.62407298752505,60361,#3d4f32
27,24,2,3,82,100,55,89.96266430393551,51353,#526437
28,25,2,4,80,101,81,93.2672089988434,35449,#506551
29,29,2,5,102,121,72,110.24510612939028,55862,#667948
30,31,2,6,105,126,102,117.38629025784158,37620,#697e66
31,35,2,7,125,145,91,133.42752611456504,37638,#7d915b
32,38,2,8,131,151,130,142.9559155976928,28953,#839782
33,40,2,9,155,174,112,161.68696408915304,16825,#9bae70
34,44,2,10,167,184,159,176.7484475702881,17286,#a7b89f
35,46,2,11,206,222,205,215.69002413904087,6214,#cedecd
36,0,3,0,14,6,0,7.949354138665792,6101,#0e0600
37,2,3,1,30,19,3,20.871529703196344,8760,#1e1303
38,6,3,2,46,30,7,32.90340823896464,8654,#2e1e07
39,8,3,3,61,42,11,45.00012760364004,7912,#3d2a0b
40,11,3,4,89,48,6,56.12822726377952,3048,#593006
41,14,3,5,75,57,20,58.6539126814617,5993,#4b3914
42,18,3,6,95,69,26,72.3409212228937,5626,#5f451a
43,20,3,7,122,71,12,79.78472426292896,2069,#7a470c
44,22,3,8,118,81,36,87.49364996282529,4035,#765124
45,27,3,9,145,95,41,104.45991824561403,3420,#915f29
46,33,3,10,174,117,52,127.15948667324777,2026,#ae7534
47,39,3,11,209,153,62,159.80423751617076,773,#d1993e
