,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,5,0,0,18,27,14,61.0,18310,#121b0e
1,11,0,1,33,47,25,107.0,39628,#212f19
2,18,0,2,51,67,38,157.0,62285,#334326
3,23,0,3,76,95,58,230.0,124048,#4c5f3a
4,27,0,4,105,124,83,311.0,118049,#697c53
5,30,0,5,125,144,116,384.0,38399,#7d9074
6,34,0,6,146,166,100,413.0,18361,#92a664
7,37,0,7,148,166,142,456.0,17934,#94a68e
8,40,0,8,179,195,136,508.0,6849,#b3c388
9,41,0,9,169,187,174,530.0,6772,#a9bbae
10,44,0,10,200,215,190,603.0,3823,#c8d7be
11,46,0,11,225,239,231,691.0,1806,#e1efe7
12,1,1,0,11,4,0,16.0,4109,#0b0400
13,3,1,1,23,14,0,39.0,5921,#170e00
14,6,1,2,35,24,4,63.0,6770,#231804
15,9,1,3,48,33,8,89.0,6994,#302108
16,13,1,4,62,46,14,120.0,6052,#3e2e0e
17,15,1,5,78,41,4,126.0,2930,#4e2904
18,19,1,6,82,60,20,161.0,6783,#523c14
19,21,1,7,107,69,23,201.0,5998,#6b4517
20,25,1,8,134,88,36,256.0,4384,#865824
21,29,1,9,169,111,48,325.0,1969,#a96f30
22,33,1,10,206,140,64,403.0,521,#ce8c40
23,36,1,11,218,195,26,446.0,133,#dac31a
24,0,2,0,3,11,0,16.0,5779,#030b00
25,2,2,1,11,23,1,37.0,9489,#0b1701
26,4,2,2,19,34,4,57.0,11761,#132204
27,8,2,3,25,44,8,77.0,12145,#192c08
28,10,2,4,35,52,5,94.0,9199,#233405
29,12,2,5,38,61,17,115.0,8768,#263d11
30,14,2,6,47,68,6,123.0,7393,#2f4406
31,17,2,7,55,81,19,153.0,10645,#375113
32,20,2,8,71,99,22,189.0,9026,#476316
33,24,2,9,91,124,29,240.0,4821,#5b7c1d
34,26,2,10,120,157,38,310.0,1625,#789d26
35,31,2,11,163,191,38,388.0,340,#a3bf26
36,7,3,0,30,25,15,71.0,11737,#1e190f
37,16,3,1,56,47,30,135.0,35830,#382f1e
38,22,3,2,90,78,53,223.0,98324,#5a4e35
39,28,3,3,127,112,83,322.0,114680,#7f7053
40,32,3,4,148,136,116,398.0,44595,#948874
41,35,3,5,172,150,106,429.0,27240,#ac966a
42,38,3,6,168,158,143,468.0,22890,#a89e8f
43,39,3,7,195,175,133,503.0,15629,#c3af85
44,42,3,8,192,183,171,544.0,11279,#c0b7ab
45,43,3,9,218,198,157,573.0,7778,#dac69d
46,45,3,10,224,213,193,630.0,7100,#e0d5c1
47,47,3,11,245,236,224,702.0,3099,#f5ece0
