,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,5,0,0,5,14,0,10.3041,9634,#050e00
1,11,0,1,15,27,5,21.1736,18027,#0f1b05
2,16,0,2,24,39,9,31.4855,22833,#182709
3,19,0,3,32,50,20,41.2487,19768,#203214
4,20,0,4,38,57,6,45.8755,14115,#263906
5,24,0,5,46,66,27,55.786699999999996,24869,#2e421b
6,25,0,6,57,80,12,65.2173,12214,#39500c
7,26,0,7,64,88,37,75.00755,28840,#405825
8,30,0,8,84,111,43,94.8139,26051,#546f2b
9,33,0,9,106,137,59,118.0565,14501,#6a893b
10,37,0,10,138,170,70,147.8845,3623,#8aaa46
11,43,0,11,179,205,82,181.2554,509,#b3cd52
12,0,1,0,4,0,0,1.1956,350,#040000
13,1,1,1,7,0,0,2.3912,459,#070000
14,2,1,2,12,0,0,4.1738,519,#0c0000
15,3,1,3,18,2,0,6.5542,429,#120200
16,4,1,4,24,4,0,9.2227,330,#180400
17,6,1,5,29,3,9,11.18315,66,#1d0309
18,7,1,6,30,4,0,11.692450000000001,306,#1e0400
19,9,1,7,37,7,0,15.4348,291,#250700
20,10,1,8,45,11,0,19.3097,208,#2d0b00
21,12,1,9,54,12,0,23.4619,119,#360c00
22,15,1,10,64,17,0,29.05695,76,#401100
23,18,1,11,83,23,0,38.3529,21,#531700
24,8,2,0,17,11,0,12.143799999999999,6728,#110b00
25,13,2,1,33,24,7,24.9561,11831,#211807
26,17,2,2,49,37,14,37.8749,15838,#31250e
27,22,2,3,66,52,25,53.2217,16547,#423419
28,23,2,4,80,49,7,54.083099999999995,5795,#503107
29,27,2,5,93,74,37,75.07469999999999,25624,#5d4a25
30,29,2,6,121,76,22,84.20339999999999,4558,#794c16
31,31,2,7,126,99,54,101.93969999999999,18995,#7e6336
32,34,2,8,164,121,70,127.9494,7415,#a47946
33,38,2,9,196,143,88,152.166,3133,#c48f58
34,41,2,10,206,183,26,171.50844999999998,210,#ceb71a
35,42,2,11,227,173,104,180.68515000000002,824,#e3ad68
36,14,3,0,23,29,20,26.747700000000002,20206,#171d14
37,21,3,1,47,52,36,49.237199999999994,59462,#2f3424
38,28,3,2,79,85,59,80.9228,173062,#4f553b
39,32,3,3,115,119,87,114.1043,220333,#737757
40,35,3,4,151,142,104,140.60045,65110,#978e68
41,36,3,5,144,150,131,146.75889999999998,50914,#909683
42,39,3,6,180,168,125,166.67440000000002,31063,#b4a87d
43,40,3,7,171,173,157,170.1326,24695,#abad9d
44,44,3,8,207,192,150,191.7456,15083,#cfc096
45,45,3,9,194,195,184,193.17034999999998,11156,#c2c3b8
46,46,3,10,226,216,190,215.86790000000002,8559,#e2d8be
47,47,3,11,239,237,227,235.88279999999997,4701,#efede3
