,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,0,0,0,26,49,7,82.74818473880666,53849,#1a3107
1,2,0,2,48,82,18,150.60104262020386,64453,#305212
2,4,0,4,74,116,31,221.60416109015696,41095,#4a741f
3,6,0,6,112,162,45,320.6564890903939,14116,#70a22d
4,3,1,3,66,79,53,200.20506657135198,111910,#424f35
5,7,1,7,111,120,91,323.73581104817106,182184,#6f785b
6,10,1,10,153,158,125,437.57222299290106,165799,#999e7d
7,11,1,11,203,201,175,580.8135348794525,76277,#cbc9af
8,1,2,1,53,49,18,122.11126898511539,72491,#353112
9,5,2,5,92,88,40,221.78581917348438,85806,#5c5828
10,8,2,8,135,122,65,324.30335474660956,74253,#877a41
11,9,2,9,177,155,96,428.986687901397,57767,#b19b60
