,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,1,0,0,53,50,18,124.0,69438,#353212
1,5,0,1,90,86,40,216.0,86539,#5a5628
2,7,0,2,133,121,65,318.0,76451,#857941
3,9,0,3,176,151,94,419.0,60598,#b0975e
4,3,1,0,69,82,54,210.0,113090,#455236
5,8,1,1,112,121,91,326.0,182950,#70795b
6,10,1,2,152,158,125,434.0,163660,#989e7d
7,11,1,3,201,198,171,564.0,76431,#c9c6ab
8,0,2,0,26,49,5,84.0,49712,#1a3105
9,2,2,1,46,80,18,145.0,62171,#2e5012
10,4,2,2,70,112,31,211.0,43361,#46701f
11,6,2,3,104,155,44,298.0,15599,#689b2c
