,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,2,0,0,23,23,21,70.0,28550,#171715
1,8,0,1,44,41,37,123.0,38899,#2c2925
2,13,0,2,70,60,45,177.0,41461,#463c2d
3,19,0,3,96,79,49,225.0,44652,#604f31
4,22,0,4,93,85,75,253.0,23244,#5d554b
5,24,0,5,116,97,62,277.0,55958,#74613e
6,29,0,6,135,113,74,322.0,51955,#87714a
7,31,0,7,122,112,96,330.0,26010,#7a7060
8,34,0,8,152,129,89,370.0,56000,#988159
9,37,0,9,154,140,121,414.0,25317,#9a8c79
10,38,0,10,171,145,101,417.0,47888,#ab9165
11,41,0,11,187,161,118,465.0,48267,#bba176
12,43,0,12,188,173,146,507.0,23433,#bcad92
13,46,0,13,210,180,130,520.0,30136,#d2b482
14,47,0,14,219,197,156,574.0,30653,#dbc59c
15,49,0,15,236,218,184,636.0,21009,#ecdab8
16,50,0,16,253,242,219,710.0,11596,#fdf2db
17,1,1,0,21,28,11,63.0,25044,#151c0b
18,5,1,1,35,42,28,104.0,21248,#232a1c
19,6,1,2,45,57,9,113.0,20125,#2d3909
20,11,1,3,56,64,39,158.0,20228,#384027
21,14,1,4,71,84,24,180.0,18606,#475418
22,18,1,5,77,87,54,218.0,19608,#4d5736
23,21,1,6,96,110,44,249.0,20571,#606e2c
24,25,1,7,98,109,73,280.0,17730,#626d49
25,28,1,8,117,129,67,314.0,19796,#758143
26,30,1,9,130,152,44,329.0,5942,#82982c
27,33,1,10,123,135,98,354.0,13187,#7b8762
28,35,1,11,141,154,85,382.0,14797,#8d9a55
29,39,1,12,166,190,62,421.0,5722,#a6be3e
30,40,1,13,158,170,114,442.0,13685,#9eaa72
31,44,1,14,196,215,102,509.0,4396,#c4d766
32,45,1,15,184,195,140,518.0,7458,#b8c38c
33,48,1,16,220,229,178,624.0,3370,#dce5b2
34,0,2,0,22,9,1,35.0,8667,#160901
35,3,2,1,41,25,3,71.0,14341,#291903
36,4,2,2,55,40,11,104.0,15123,#37280b
37,7,2,3,74,37,3,117.0,7893,#4a2503
38,9,2,4,68,58,10,137.0,10100,#443a0a
39,10,2,5,78,52,25,154.0,11614,#4e3419
40,12,2,6,98,54,9,163.0,8062,#623609
41,15,2,7,87,73,24,182.0,11307,#574918
42,16,2,8,103,68,34,205.0,10677,#674422
43,17,2,9,126,71,16,212.0,5624,#7e4710
44,20,2,10,109,92,34,233.0,7786,#6d5c22
45,23,2,11,129,83,42,254.0,8732,#81532a
46,26,2,12,162,92,28,282.0,3535,#a25c1c
47,27,2,13,145,102,50,297.0,7424,#916632
48,32,2,14,172,112,59,342.0,6200,#ac703b
49,36,2,15,198,132,70,397.0,4464,#c68446
50,42,2,16,227,159,83,466.0,1910,#e39f53
