,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,2,0,0,23,23,22,70.0,32499,#171716
1,7,0,1,41,39,37,117.0,42275,#292725
2,13,0,2,65,58,49,171.0,40822,#413a31
3,18,0,3,92,76,49,218.0,37650,#5c4c31
4,23,0,4,89,84,75,247.0,24675,#59544b
5,25,0,5,114,95,62,273.0,50629,#725f3e
6,29,0,6,115,108,94,317.0,25354,#736c5e
7,30,0,7,134,113,75,322.0,49217,#86714b
8,34,0,8,153,129,89,372.0,47375,#998159
9,36,0,9,141,131,114,387.0,22854,#8d8372
10,39,0,10,173,147,105,424.0,47785,#ad9369
11,41,0,11,166,155,134,455.0,18658,#a69b86
12,43,0,12,194,167,121,482.0,40253,#c2a779
13,46,0,13,196,183,156,534.0,16359,#c4b79c
14,47,0,14,219,188,138,546.0,23541,#dbbc8a
15,49,0,15,230,211,172,613.0,17011,#e6d3ac
16,50,0,16,246,240,221,699.0,6745,#f6f0dd
17,1,1,0,16,26,11,54.0,37499,#101a0b
18,4,1,1,27,40,22,88.0,38766,#1b2816
19,5,1,2,36,52,10,100.0,23484,#24340a
20,8,1,3,42,58,31,130.0,32474,#2a3a1f
21,11,1,4,55,73,19,147.0,20476,#374913
22,15,1,5,62,76,44,181.0,23145,#3e4c2c
23,17,1,6,77,94,29,199.0,15742,#4d5e1d
24,22,1,7,85,98,56,239.0,21576,#556238
25,24,1,8,102,120,42,263.0,11995,#66782a
26,27,1,9,106,119,70,295.0,20768,#6a7746
27,32,1,10,132,153,55,337.0,8564,#849937
28,33,1,11,125,139,85,349.0,16976,#7d8b55
29,37,1,12,147,162,100,408.0,13719,#93a264
30,38,1,13,165,190,62,418.0,5644,#a5be3e
31,42,1,14,172,188,122,477.0,8772,#acbc7a
32,45,1,15,196,217,97,509.0,3731,#c4d961
33,48,1,16,210,226,150,586.0,3478,#d2e296
34,0,2,0,22,9,1,36.0,8982,#160901
35,3,2,1,41,25,6,73.0,14226,#291906
36,6,2,2,57,39,10,106.0,16700,#39270a
37,9,2,3,83,42,5,132.0,8461,#532a05
38,10,2,4,72,50,25,146.0,11946,#483219
39,12,2,5,76,64,14,155.0,8743,#4c400e
40,14,2,6,108,60,12,181.0,8059,#6c3c0c
41,16,2,7,91,65,33,188.0,14328,#5b4121
42,19,2,8,101,88,32,220.0,7625,#655820
43,20,2,9,114,76,42,231.0,10326,#724c2a
44,21,2,10,137,78,23,238.0,5446,#894e17
45,26,2,11,133,94,48,275.0,10305,#855e30
46,28,2,12,169,99,35,301.0,3723,#a96323
47,31,2,13,156,106,60,322.0,7810,#9c6a3c
48,35,2,14,182,123,68,372.0,6449,#b67b44
49,40,2,15,208,140,82,426.0,4347,#d08c52
50,44,2,16,235,166,93,491.0,2013,#eba65d
