,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,0,0,0,17,6,2,10.048899071661237,6140,#110602
1,3,0,1,36,19,4,23.044303819618037,10001,#241304
2,5,0,2,52,31,7,35.83555202287946,14336,#341f07
3,7,0,3,70,44,11,49.09785769502582,18395,#462c0b
4,10,0,4,100,50,6,62.02625356796116,8240,#643206
5,11,0,5,87,60,25,67.00084424022651,20131,#573c19
6,14,0,6,127,74,24,86.1813423806755,18919,#7f4a18
7,16,0,7,159,96,41,107.7666448734514,13157,#9f6029
8,18,0,8,184,118,60,130.24145403541976,7397,#b8763c
9,23,0,9,210,137,78,151.53520915398985,3747,#d2894e
10,26,0,10,240,161,93,176.14550511247444,1467,#f0a15d
11,2,1,0,19,20,19,21.31129651156607,37610,#131413
12,6,1,1,38,40,36,41.05134347226504,61637,#262824
13,13,1,2,70,68,53,76.31119016535982,127661,#464435
14,17,1,3,127,123,94,114.18621365511788,174506,#7f7b5e
15,20,1,4,170,144,102,145.39614154981163,76448,#aa9066
16,22,1,5,143,160,142,150.07051551072612,34402,#8fa08e
17,25,1,6,195,170,125,171.71576152848428,49343,#c3aa7d
18,28,1,7,183,192,181,186.15246986453096,11737,#b7c0b5
19,29,1,8,223,193,143,195.6188580373036,25842,#dfc18f
20,31,1,9,235,221,176,219.15943779759533,12559,#ebddb0
21,32,1,10,243,242,230,239.82186848286483,5194,#f3f2e6
22,1,2,0,13,23,8,19.573232290239073,26268,#0d1708
23,4,2,1,25,40,15,33.23688966025551,42738,#19280f
24,8,2,2,37,58,28,49.86725708029197,34935,#253a1c
25,9,2,3,43,59,9,49.90410115287567,22986,#2b3b09
26,12,2,4,62,82,30,73.33619212773424,51294,#3e521e
27,15,2,5,96,123,41,103.37584723542713,43334,#607b29
28,19,2,6,126,154,78,132.51475963728384,21339,#7e9a4e
29,21,2,7,147,174,47,148.6322744766955,7166,#93ae2f
30,24,2,8,166,190,93,169.2621878994238,5727,#a6be5d
31,27,2,9,186,212,62,185.47176005812076,3097,#bad43e
32,30,2,10,212,233,109,210.8260168224299,2247,#d4e96d
