,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,0,0,0,14,25,9,48.0,21329,#0e1909
1,3,0,1,24,39,15,76.0,31083,#18270f
2,6,0,2,41,57,8,106.0,15368,#293908
3,7,0,3,33,52,23,109.0,24261,#213417
4,9,0,4,47,68,30,144.0,21995,#2f441e
5,11,0,5,60,78,15,154.0,12191,#3c4e0f
6,14,0,6,65,85,39,190.0,18011,#415527
7,15,0,7,81,102,24,206.0,8296,#516618
8,19,0,8,84,104,49,238.0,16443,#546831
9,21,0,9,104,133,35,271.0,7063,#688523
10,23,0,10,101,122,61,283.0,14934,#657a3d
11,28,0,11,120,142,71,331.0,12884,#788e47
12,29,0,12,134,163,46,342.0,5433,#86a32e
13,34,0,13,142,165,83,387.0,8771,#8ea553
14,37,0,14,171,199,57,425.0,3846,#abc739
15,40,0,15,172,193,96,458.0,4236,#acc160
16,45,0,16,208,230,109,541.0,2670,#d0e66d
17,1,1,0,26,15,6,49.0,21228,#1a0f06
18,5,1,1,51,35,13,100.0,31890,#33230d
19,10,1,2,83,53,11,148.0,22315,#53350b
20,12,1,3,69,54,34,159.0,28628,#453622
21,16,1,4,91,73,43,208.0,41747,#5b492b
22,17,1,5,119,72,24,216.0,15807,#774818
23,20,1,6,110,89,56,256.0,47343,#6e5938
24,24,1,7,151,97,48,296.0,15388,#976130
25,25,1,8,126,105,70,302.0,46166,#7e6946
26,30,1,9,144,121,83,348.0,45012,#907953
27,32,1,10,183,126,74,382.0,13743,#b77e4a
28,35,1,11,161,137,98,397.0,40776,#a18962
29,38,1,12,179,154,112,444.0,36504,#b39a70
30,41,1,13,218,156,101,474.0,9365,#da9c65
31,43,1,14,196,172,127,496.0,30228,#c4ac7f
32,46,1,15,218,191,143,553.0,22105,#dabf8f
33,48,1,16,238,213,170,618.0,10893,#eed5aa
34,2,2,0,18,22,19,61.0,27179,#121613
35,4,2,1,30,35,32,97.0,36621,#1e2320
36,8,2,2,44,50,44,139.0,30380,#2c322c
37,13,2,3,58,68,56,183.0,25606,#3a4438
38,18,2,4,75,86,68,230.0,24108,#4b5644
39,22,2,5,90,104,81,274.0,25287,#5a6851
40,26,2,6,99,114,101,315.0,17446,#637265
41,27,2,7,110,127,87,325.0,16261,#6e7f57
42,31,2,8,115,133,117,366.0,18572,#738575
43,33,2,9,131,149,103,383.0,12768,#839567
44,36,2,10,133,151,136,421.0,16169,#859788
45,39,2,11,158,172,119,448.0,8580,#9eac77
46,42,2,12,154,169,158,481.0,11580,#9aa99e
47,44,2,13,188,198,144,529.0,5228,#bcc690
48,47,2,14,181,191,183,554.0,6386,#b5bfb7
49,49,2,15,219,220,191,632.0,5602,#dbdcbf
50,50,2,16,248,246,232,718.0,4275,#f8f6e8
