,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,1,0,0,19,27,15,24.203999999999997,87014,#131b0f
1,3,0,1,38,49,29,43.7136,129724,#26311d
2,7,0,2,77,83,51,78.84579999999998,197297,#4d5333
3,10,0,3,124,121,81,117.3658,222331,#7c7951
4,13,0,4,136,152,131,144.7485,41370,#889883
5,14,0,5,176,154,110,155.7662,77713,#b09a6e
6,16,0,6,172,195,75,174.79325,11326,#acc34b
7,17,0,7,175,185,172,180.14509999999999,13349,#afb9ac
8,19,0,8,207,183,135,184.6726,41006,#cfb787
9,20,0,9,230,211,165,211.89469999999997,18399,#e6d3a5
10,21,0,10,244,240,219,238.00199999999998,6645,#f4f0db
11,0,1,0,22,10,1,12.9126,9770,#160a01
12,2,1,1,43,26,4,29.1037,17255,#2b1a04
13,4,1,2,63,42,11,45.136399999999995,24738,#3f2a0b
14,5,1,3,95,51,7,59.4093,10950,#5f3307
15,6,1,4,87,63,30,66.79820000000001,31031,#573f1e
16,8,1,5,121,80,37,87.16944999999998,25840,#795025
17,9,1,6,152,101,59,110.92339999999999,16645,#98653b
18,11,1,7,178,112,35,123.93494999999999,3148,#b27023
19,12,1,8,187,126,76,137.7976,7889,#bb7e4c
20,15,1,9,214,146,89,158.8944,4449,#d69259
21,18,1,10,244,162,111,180.40980000000002,2111,#f4a26f
