,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,1,0,0,25,16,8,52.0,24825,#191008
1,5,0,1,48,35,17,99.0,34755,#302311
2,10,0,2,79,51,12,142.0,25068,#4f330c
3,12,0,3,68,55,36,159.0,29124,#443724
4,15,0,4,90,73,43,207.0,41985,#5a492b
5,17,0,5,115,70,22,209.0,16939,#734616
6,20,0,6,109,88,56,255.0,47346,#6d5838
7,25,0,7,150,96,46,291.0,15600,#96602e
8,26,0,8,126,104,70,300.0,44175,#7e6846
9,31,0,9,144,120,82,346.0,43933,#907852
10,34,0,10,183,125,73,380.0,13938,#b77d49
11,35,0,11,161,136,98,396.0,41819,#a18862
12,40,0,12,179,154,112,445.0,37587,#b39a70
13,42,0,13,219,157,102,478.0,9336,#db9d66
14,43,0,14,198,174,128,500.0,30785,#c6ae80
15,46,0,15,221,193,146,561.0,22422,#ddc192
16,49,0,16,240,219,178,633.0,9965,#f0dbb2
17,2,1,0,17,23,16,58.0,25407,#111710
18,4,1,1,28,36,26,91.0,38879,#1c241a
19,8,1,2,41,51,36,129.0,35275,#293324
20,13,1,3,56,68,48,172.0,30288,#384430
21,19,1,4,72,87,59,219.0,27376,#48573b
22,22,1,5,81,99,82,263.0,18185,#516352
23,24,1,6,96,115,69,283.0,20209,#607345
24,28,1,7,99,120,100,319.0,21372,#637864
25,30,1,8,120,139,84,343.0,18066,#788b54
26,33,1,9,117,140,119,377.0,20294,#758c77
27,36,1,10,145,161,100,405.0,14521,#91a164
28,39,1,11,138,159,141,438.0,15861,#8a9f8d
29,41,1,12,173,186,121,478.0,9314,#adba79
30,44,1,13,162,179,167,507.0,9625,#a2b3a7
31,47,1,14,207,220,150,575.0,4510,#cfdc96
32,48,1,15,196,205,196,595.0,4853,#c4cdc4
33,50,1,16,243,246,232,717.0,4356,#f3f6e8
34,0,2,0,14,25,7,47.0,16124,#0e1907
35,3,2,1,25,39,11,74.0,24240,#19270b
36,6,2,2,34,52,19,104.0,20293,#223413
37,7,2,3,44,57,4,107.0,13458,#2c3904
38,9,2,4,48,67,24,138.0,18989,#304318
39,11,2,5,63,79,9,152.0,9899,#3f4f09
40,14,2,6,64,83,31,178.0,14699,#40531f
41,16,2,7,87,106,15,208.0,7349,#576a0f
42,18,2,8,81,99,38,217.0,12798,#516326
43,21,2,9,98,118,47,261.0,12260,#62762f
44,23,2,10,112,134,24,270.0,6128,#708618
45,27,2,11,117,139,56,310.0,10522,#758b38
46,29,2,12,139,163,35,334.0,5106,#8ba323
47,32,2,13,138,161,66,363.0,8188,#8aa142
48,37,2,14,173,200,48,420.0,3323,#adc830
49,38,2,15,164,184,77,422.0,5458,#a4b84d
50,45,2,16,200,222,91,508.0,3173,#c8de5b
