,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,2,0,0,17,24,17,60.0,27499,#111811
1,4,0,1,30,40,27,98.0,34472,#1e281b
2,9,0,2,44,58,38,140.0,31726,#2c3a26
3,15,0,3,59,76,50,186.0,30210,#3b4c32
4,19,0,4,75,94,60,230.0,29259,#4b5e3c
5,23,0,5,82,104,83,269.0,19363,#526853
6,24,0,6,96,117,70,285.0,24549,#607546
7,29,0,7,100,124,100,324.0,23977,#647c64
8,30,0,8,118,138,83,340.0,20686,#768a53
9,34,0,9,118,142,119,379.0,22425,#768e77
10,36,0,10,141,158,98,397.0,15553,#8d9e62
11,39,0,11,138,160,140,438.0,18145,#8aa08c
12,41,0,12,167,180,119,465.0,9555,#a7b477
13,45,0,13,163,180,163,506.0,11853,#a3b4a3
14,46,0,14,199,213,144,554.0,4655,#c7d590
15,48,0,15,194,204,188,586.0,6803,#c2ccbc
16,50,0,16,233,239,217,683.0,4202,#e9efd9
17,1,1,0,27,17,8,54.0,26639,#1b1108
18,6,1,1,51,36,15,103.0,34460,#33240f
19,11,1,2,85,54,12,152.0,23162,#55360c
20,12,1,3,69,54,34,158.0,28638,#453622
21,16,1,4,92,73,43,209.0,41972,#5c492b
22,18,1,5,122,75,26,225.0,16244,#7a4b1a
23,22,1,6,111,89,57,258.0,46209,#6f5939
24,27,1,7,128,105,70,304.0,44310,#806946
25,28,1,8,156,101,50,308.0,14780,#9c6532
26,32,1,9,146,122,84,352.0,44064,#927a54
27,35,1,10,188,131,78,396.0,13435,#bc834e
28,37,1,11,162,138,100,400.0,41285,#a28a64
29,40,1,12,181,156,113,451.0,37946,#b59c71
30,43,1,13,224,162,107,491.0,8801,#e0a26b
31,44,1,14,199,175,130,505.0,30018,#c7af82
32,47,1,15,221,195,149,567.0,21374,#ddc395
33,49,1,16,241,221,183,640.0,9302,#f1ddb7
34,0,2,0,13,24,6,45.0,13337,#0d1806
35,3,2,1,24,38,11,73.0,21549,#18260b
36,5,2,2,41,55,5,102.0,12452,#293705
37,7,2,3,33,52,19,103.0,17966,#213413
38,8,2,4,46,67,24,137.0,18626,#2e4318
39,10,2,5,56,75,10,141.0,10465,#384b0a
40,13,2,6,61,83,30,174.0,16795,#3d531e
41,14,2,7,73,96,13,182.0,8150,#49600d
42,17,2,8,77,100,37,214.0,14930,#4d6425
43,20,2,9,95,119,19,232.0,6474,#5f7713
44,21,2,10,94,117,46,256.0,11949,#5e752e
45,25,2,11,119,145,29,290.0,5330,#77911d
46,26,2,12,110,136,54,298.0,9115,#6e8836
47,31,2,13,132,157,61,347.0,7304,#849d3d
48,33,2,14,153,173,34,360.0,2352,#99ad22
49,38,2,15,160,182,73,413.0,3804,#a0b649
50,42,2,16,195,216,86,490.0,1831,#c3d856
