,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,1,0,0,21,16,13,52.0,12140,#15100d
1,7,0,1,56,43,28,130.0,16352,#382b1c
2,14,0,2,82,64,37,186.0,28990,#524025
3,20,0,3,101,81,48,231.0,40273,#655130
4,24,0,4,119,97,57,272.0,41809,#776139
5,27,0,5,121,100,77,298.0,19157,#79644d
6,31,0,6,137,113,70,321.0,43874,#897146
7,33,0,7,148,126,89,363.0,41588,#947e59
8,35,0,8,168,127,79,376.0,18129,#a87f4f
9,37,0,9,165,142,101,410.0,46049,#a58e65
10,41,0,10,205,150,99,455.0,11593,#cd9663
11,42,0,11,180,158,116,455.0,41090,#b49e74
12,43,0,12,198,174,130,501.0,36953,#c6ae82
13,46,0,13,207,190,156,552.0,22628,#cfbe9c
14,47,0,14,226,190,138,554.0,16403,#e2be8a
15,48,0,15,230,211,175,616.0,21924,#e6d3af
16,50,0,16,251,235,208,689.0,12351,#fbebd0
17,2,1,0,17,29,13,60.0,44636,#111d0d
18,5,1,1,31,48,20,99.0,52652,#1f3014
19,9,1,2,43,63,36,141.0,34274,#2b3f24
20,12,1,3,55,77,20,153.0,29882,#374d14
21,17,1,4,61,83,51,196.0,33585,#3d5333
22,18,1,5,80,104,35,221.0,26025,#506823
23,22,1,6,79,102,73,253.0,30811,#4f6649
24,26,1,7,98,121,63,282.0,25187,#62793f
25,28,1,8,115,150,46,311.0,9135,#73962e
26,30,1,9,98,123,96,317.0,30467,#627b60
27,32,1,10,121,143,84,349.0,21265,#798f54
28,36,1,11,120,144,119,384.0,26617,#789077
29,38,1,12,149,169,99,415.0,13354,#95a963
30,40,1,13,143,165,142,450.0,19895,#8fa58e
31,44,1,14,186,202,127,511.0,6617,#baca7f
32,45,1,15,171,189,171,529.0,10993,#abbdab
33,49,1,16,216,227,196,634.0,5905,#d8e3c4
34,0,2,0,22,8,0,33.0,7250,#160800
35,3,2,1,40,23,2,67.0,11247,#281702
36,4,2,2,53,40,5,97.0,9934,#352805
37,6,2,3,68,34,5,111.0,8371,#442205
38,8,2,4,67,57,8,132.0,9049,#433908
39,10,2,5,80,49,21,150.0,7301,#503115
40,11,2,6,94,50,5,151.0,6356,#5e3205
41,13,2,7,86,72,17,174.0,8542,#564811
42,15,2,8,103,65,27,194.0,7772,#67411b
43,16,2,9,121,65,10,196.0,4202,#79410a
44,19,2,10,107,88,27,221.0,5571,#6b581b
45,21,2,11,126,78,35,238.0,6439,#7e4e23
46,23,2,12,154,83,20,258.0,2565,#9a5314
47,25,2,13,142,96,40,277.0,4943,#8e6028
48,29,2,14,167,103,49,317.0,3984,#a76731
49,34,2,15,191,122,55,366.0,2801,#bf7a37
50,39,2,16,221,148,67,432.0,1070,#dd9443
