,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,3,0,0,25,24,23,75.0,22407,#191817
1,7,0,1,50,44,40,134.0,24828,#322c28
2,15,0,2,83,67,42,196.0,33440,#53432a
3,20,0,3,105,86,53,245.0,44455,#695635
4,26,0,4,125,103,65,293.0,48526,#7d6741
5,28,0,5,112,102,89,304.0,14798,#706659
6,31,0,6,142,120,80,342.0,50824,#8e7850
7,34,0,7,144,132,115,392.0,15337,#908473
8,36,0,8,162,137,94,392.0,44420,#a2895e
9,38,0,9,177,155,113,446.0,41523,#b19b71
10,39,0,10,204,147,100,453.0,9765,#cc9364
11,43,0,11,197,173,130,500.0,37036,#c5ad82
12,44,0,12,170,169,162,501.0,6805,#aaa9a2
13,46,0,13,242,183,132,554.0,10393,#f2b784
14,47,0,14,213,192,154,558.0,28158,#d5c09a
15,48,0,15,232,212,178,622.0,22391,#e8d4b2
16,50,0,16,251,235,209,692.0,12019,#fbebd1
17,1,1,0,19,31,14,65.0,40064,#131f0e
18,5,1,1,33,49,24,104.0,52058,#213118
19,9,1,2,48,69,18,136.0,30957,#304512
20,12,1,3,52,70,42,164.0,37409,#34462a
21,14,1,4,70,94,30,194.0,28438,#465e1e
22,18,1,5,70,90,60,220.0,34041,#465a3c
23,21,1,6,90,111,53,253.0,27979,#5a6f35
24,24,1,7,89,110,83,282.0,30979,#596e53
25,25,1,8,108,140,41,288.0,8634,#6c8c29
26,29,1,9,112,131,74,316.0,23657,#70834a
27,32,1,10,107,131,103,343.0,26466,#6b8367
28,33,1,11,138,159,89,382.0,16078,#8a9f59
29,37,1,12,126,149,123,399.0,20779,#7e957b
30,40,1,13,149,169,144,460.0,15581,#95a990
31,42,1,14,177,195,113,483.0,6166,#b1c371
32,45,1,15,181,195,168,542.0,8827,#b5c3a8
33,49,1,16,221,234,196,644.0,4720,#ddeac4
34,0,2,0,21,8,1,32.0,7031,#150801
35,2,2,1,38,21,3,65.0,10609,#261503
36,4,2,2,53,36,6,95.0,11836,#352406
37,6,2,3,72,37,5,117.0,8293,#482505
38,8,2,4,67,56,10,134.0,10097,#43380a
39,10,2,5,98,52,7,158.0,6891,#623407
40,11,2,6,81,53,24,158.0,8748,#513518
41,13,2,7,89,74,21,183.0,9671,#594a15
42,16,2,8,106,68,32,205.0,8780,#6a4420
43,17,2,9,127,68,14,209.0,4826,#7f440e
44,19,2,10,112,91,32,233.0,7196,#705b20
45,22,2,11,132,82,41,254.0,7189,#845229
46,23,2,12,164,86,25,276.0,3271,#a45619
47,27,2,13,146,102,47,294.0,5402,#92662f
48,30,2,14,174,106,56,336.0,4925,#ae6a38
49,35,2,15,201,127,67,392.0,3628,#c97f43
50,41,2,16,231,154,81,462.0,1649,#e79a51
