,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,2,0,0,19,24,20,64.0,28237,#131814
1,4,0,1,32,37,32,102.0,34189,#202520
2,8,0,2,46,53,43,143.0,28706,#2e352b
3,14,0,3,60,71,54,187.0,23737,#3c4736
4,19,0,4,75,89,66,231.0,23546,#4b5942
5,23,0,5,91,107,72,269.0,19912,#5b6b48
6,24,0,6,92,110,94,298.0,16492,#5c6e5e
7,29,0,7,109,126,83,318.0,18877,#6d7e53
8,30,0,8,110,131,110,352.0,18556,#6e836e
9,33,0,9,128,146,96,371.0,15091,#809260
10,36,0,10,129,148,129,406.0,17300,#819481
11,39,0,11,152,166,112,430.0,10410,#98a670
12,41,0,12,149,166,150,465.0,14003,#95a696
13,44,0,13,180,191,135,505.0,6257,#b4bf87
14,46,0,14,177,188,172,536.0,9066,#b1bcac
15,48,0,15,211,214,188,612.0,7938,#d3d6bc
16,50,0,16,247,243,219,708.0,6507,#f7f3db
17,0,1,0,14,25,8,48.0,17583,#0e1908
18,3,1,1,25,39,14,78.0,24461,#19270e
19,5,1,2,42,58,7,109.0,13115,#2a3a07
20,7,1,3,35,54,22,112.0,19792,#233616
21,9,1,4,49,69,28,146.0,19039,#31451c
22,10,1,5,60,79,13,153.0,11303,#3c4f0d
23,13,1,6,64,85,36,184.0,18018,#405524
24,15,1,7,80,102,19,199.0,8915,#506613
25,17,1,8,79,100,44,223.0,16454,#4f642c
26,20,1,9,101,126,28,253.0,7020,#657e1c
27,21,1,10,94,115,53,262.0,14715,#5e7335
28,25,1,11,111,133,62,304.0,12884,#6f853e
29,28,1,12,126,152,37,312.0,4847,#7e9825
30,31,1,13,130,153,72,353.0,9229,#829948
31,34,1,14,159,180,49,384.0,2190,#9fb431
32,38,1,15,155,177,84,413.0,4181,#9bb154
33,43,1,16,195,215,97,501.0,1868,#c3d761
34,1,2,0,30,20,7,61.0,21304,#1e1407
35,6,2,1,56,40,15,111.0,32130,#38280f
36,11,2,2,86,59,14,160.0,24701,#563b0e
37,12,2,3,73,58,37,169.0,27385,#493a25
38,16,2,4,95,77,45,218.0,41813,#5f4d2d
39,18,2,5,121,78,28,228.0,16680,#794e1c
40,22,2,6,114,94,58,266.0,47047,#725e3a
41,26,2,7,154,103,52,309.0,15868,#9a6734
42,27,2,8,129,110,72,311.0,45424,#816e48
43,32,2,9,147,125,85,358.0,46552,#937d55
44,35,2,10,189,131,79,398.0,12762,#bd834f
45,37,2,11,164,141,101,406.0,42210,#a48d65
46,40,2,12,182,158,116,457.0,41186,#b69e74
47,42,2,13,226,164,111,500.0,8295,#e2a46f
48,45,2,14,199,177,134,510.0,33775,#c7b186
49,47,2,15,220,196,154,571.0,25514,#dcc49a
50,49,2,16,242,221,184,643.0,12916,#f2ddb8
