,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,0,0,0,12,23,8,43.0,16616,#0c1708
1,3,0,1,21,35,14,69.0,26198,#15230e
2,5,0,2,36,54,8,98.0,15218,#243608
3,6,0,3,30,48,22,99.0,21497,#1e3016
4,8,0,4,41,62,27,131.0,22672,#293e1b
5,10,0,5,53,75,13,142.0,12628,#354b0d
6,11,0,6,55,77,35,168.0,18336,#374d23
7,15,0,7,73,98,23,193.0,10700,#496217
8,16,0,8,69,91,44,205.0,16276,#455b2c
9,20,0,9,85,106,51,242.0,17335,#556a33
10,21,0,10,95,128,33,256.0,6986,#5f8021
11,24,0,11,99,122,62,283.0,15578,#637a3e
12,29,0,12,115,138,72,324.0,12239,#738a48
13,30,0,13,122,158,49,329.0,4763,#7a9e31
14,34,0,14,135,158,85,374.0,8614,#879e55
15,38,0,15,161,184,95,435.0,4225,#a1b85f
16,45,0,16,199,223,115,531.0,1477,#c7df73
17,2,1,0,17,22,20,61.0,28238,#111614
18,4,1,1,27,35,33,96.0,39026,#1b2321
19,9,1,2,39,49,45,133.0,33294,#27312d
20,13,1,3,51,64,58,174.0,26052,#33403a
21,17,1,4,67,83,68,219.0,21632,#435344
22,22,1,5,86,103,75,264.0,17636,#56674b
23,25,1,6,84,102,96,284.0,10756,#546660
24,26,1,7,103,122,90,316.0,20597,#677a5a
25,31,1,8,108,129,115,352.0,14719,#6c8173
26,33,1,9,125,145,104,374.0,15234,#7d9168
27,37,1,10,129,150,134,412.0,14415,#819686
28,39,1,11,150,166,121,437.0,9604,#96a679
29,41,1,12,151,169,155,475.0,11401,#97a99b
30,42,1,13,181,192,143,515.0,5656,#b5c08f
31,46,1,14,178,190,179,548.0,7051,#b2beb3
32,48,1,15,212,218,193,622.0,5791,#d4dac1
33,50,1,16,246,247,227,721.0,4550,#f6f7e3
34,1,2,0,32,20,5,61.0,20195,#201405
35,7,2,1,60,41,13,116.0,31611,#3c290d
36,12,2,2,90,63,16,169.0,24100,#5a3f10
37,14,2,3,77,60,37,174.0,26737,#4d3c25
38,18,2,4,99,80,46,225.0,41729,#63502e
39,19,2,5,127,80,30,238.0,14937,#7f501e
40,23,2,6,116,96,59,273.0,45678,#74603b
41,27,2,7,131,111,74,318.0,42858,#836f4a
42,28,2,8,158,106,56,320.0,15420,#9e6a38
43,32,2,9,149,127,87,363.0,45149,#957f57
44,35,2,10,193,135,82,409.0,12353,#c18752
45,36,2,11,166,143,102,411.0,41845,#a68f66
46,40,2,12,184,160,118,462.0,41267,#b8a076
47,43,2,13,229,170,116,515.0,8587,#e5aa74
48,44,2,14,201,179,136,516.0,32951,#c9b388
49,47,2,15,222,199,158,580.0,24609,#dec79e
50,49,2,16,243,225,190,655.0,12964,#f3e1be
