,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,0,0,0,10,20,4,36.0,17474,#0a1404
1,3,0,1,20,34,10,64.0,27661,#14220a
2,4,0,2,29,47,18,94.0,21245,#1d2f12
3,5,0,3,35,54,5,95.0,14436,#233605
4,8,0,4,40,62,23,125.0,21046,#283e17
5,9,0,5,51,73,9,134.0,11570,#334909
6,11,0,6,53,78,30,161.0,16769,#354e1e
7,14,0,7,67,95,13,174.0,8502,#435f0d
8,16,0,8,67,93,37,197.0,13739,#435d25
9,19,0,9,86,122,18,225.0,5268,#567a12
10,20,0,10,90,102,39,230.0,6687,#5a6627
11,23,0,11,80,114,48,242.0,8354,#507230
12,26,0,12,101,129,54,283.0,9427,#658136
13,28,0,13,113,151,34,298.0,3212,#719722
14,31,0,14,121,151,65,335.0,6049,#799741
15,35,0,15,146,176,71,390.0,3421,#92b047
16,42,0,16,188,215,90,488.0,1235,#bcd75a
17,1,1,0,29,18,6,55.0,20698,#1d1206
18,7,1,1,57,39,11,109.0,29792,#39270b
19,12,1,2,89,61,14,165.0,21664,#593d0e
20,13,1,3,76,57,34,167.0,24512,#4c3922
21,18,1,4,98,78,43,220.0,38906,#624e2b
22,21,1,5,126,79,28,235.0,13940,#7e4f1c
23,24,1,6,116,94,57,268.0,43927,#745e39
24,29,1,7,132,110,72,315.0,42065,#846e48
25,30,1,8,159,105,54,319.0,13915,#9f6936
26,34,1,9,150,127,86,364.0,43763,#967f56
27,37,1,10,193,135,82,408.0,12189,#c18752
28,38,1,11,167,144,103,414.0,41541,#a79067
29,41,1,12,186,162,119,467.0,40413,#baa277
30,44,1,13,229,168,115,509.0,8324,#e5a873
31,45,1,14,204,181,138,523.0,32158,#ccb58a
32,47,1,15,224,202,162,588.0,23992,#e0caa2
33,49,1,16,245,228,196,666.0,12334,#f5e4c4
34,2,2,0,17,24,18,60.0,33288,#111812
35,6,2,1,28,39,30,98.0,45389,#1c271e
36,10,2,2,40,56,43,139.0,39678,#28382b
37,15,2,3,56,77,49,183.0,25172,#384d31
38,17,2,4,56,74,71,203.0,14674,#384a47
39,22,2,5,75,98,63,237.0,27535,#4b623f
40,25,2,6,82,106,89,277.0,16774,#526a59
41,27,2,7,97,121,76,296.0,24244,#61794c
42,32,2,8,103,127,105,336.0,20658,#677f69
43,33,2,9,121,143,90,355.0,19017,#798f5a
44,36,2,10,122,146,124,393.0,19512,#7a927c
45,39,2,11,146,165,109,420.0,12696,#92a56d
46,40,2,12,144,165,146,456.0,14738,#90a592
47,43,2,13,178,192,134,502.0,7309,#b2c086
48,46,2,14,169,186,173,528.0,8668,#a9baad
49,48,2,15,205,214,187,606.0,6350,#cdd6bb
50,50,2,16,239,246,228,708.0,4070,#eff6e4
