,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,2,0,0,29,18,6,56.0,21213,#1d1206
1,8,0,1,58,40,11,111.0,31086,#3a280b
2,12,0,2,76,59,33,167.0,28072,#4c3b21
3,16,0,3,94,61,13,171.0,19978,#5e3d0d
4,20,0,4,99,78,43,220.0,40234,#634e2b
5,24,0,5,137,86,35,259.0,15363,#895623
6,25,0,6,115,94,58,268.0,41586,#735e3a
7,29,0,7,133,110,70,313.0,44127,#856e46
8,33,0,8,174,117,65,357.0,13596,#ae7541
9,34,0,9,148,126,86,361.0,41960,#947e56
10,38,0,10,166,142,100,409.0,42897,#a68e64
11,40,0,11,210,150,97,457.0,10346,#d29661
12,41,0,12,183,160,117,460.0,39336,#b7a075
13,44,0,13,200,178,136,513.0,33239,#c8b288
14,46,0,14,225,192,141,557.0,16771,#e1c08d
15,48,0,15,220,205,171,598.0,21361,#dccdab
16,49,0,16,246,230,201,671.0,12920,#f6e6c9
17,3,1,0,16,23,16,57.0,32295,#101710
18,5,1,1,26,37,27,91.0,44516,#1a251b
19,9,1,2,37,52,38,128.0,40289,#253426
20,15,1,3,53,73,43,170.0,24538,#35492b
21,17,1,4,49,65,64,179.0,15430,#314140
22,21,1,5,72,93,56,220.0,24871,#485d38
23,23,1,6,74,95,85,254.0,11471,#4a5f55
24,27,1,7,93,114,68,275.0,24013,#5d7244
25,30,1,8,116,136,76,327.0,17776,#74884c
26,32,1,9,106,127,100,334.0,16012,#6a7f64
27,35,1,10,135,157,92,383.0,18064,#879d5c
28,37,1,11,134,151,123,408.0,13230,#86977b
29,39,1,12,158,179,111,448.0,14967,#9eb36f
30,43,1,13,164,177,152,492.0,9779,#a4b198
31,45,1,14,185,204,136,525.0,8049,#b9cc88
32,47,1,15,202,211,182,596.0,8114,#cad3b6
33,50,1,16,235,242,222,696.0,4682,#ebf2de
34,0,2,0,9,19,2,31.0,13119,#091302
35,1,2,1,17,31,8,55.0,21545,#111f08
36,4,2,2,25,42,9,77.0,22502,#192a09
37,6,2,3,37,58,4,100.0,14166,#253a04
38,7,2,4,33,53,18,104.0,17288,#213512
39,10,2,5,50,75,8,134.0,12190,#324b08
40,11,2,6,44,67,23,134.0,17086,#2c4317
41,13,2,7,58,82,28,168.0,15496,#3a521c
42,14,2,8,64,94,11,170.0,8989,#405e0b
43,18,2,9,73,99,34,205.0,14180,#496322
44,19,2,10,81,115,16,212.0,6529,#517310
45,22,2,11,88,116,41,245.0,11804,#587429
46,26,2,12,104,142,25,269.0,3562,#688e19
47,28,2,13,104,134,50,287.0,8637,#688632
48,31,2,14,122,154,58,331.0,6572,#7a9a3a
49,36,2,15,143,177,69,386.0,3239,#8fb145
50,42,2,16,183,213,83,473.0,915,#b7d553
