,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,0,0,0,9,19,3,33.0,14615,#091303
1,3,0,1,18,32,8,58.0,23633,#122008
2,4,0,2,27,45,10,83.0,24887,#1b2d0a
3,7,0,3,41,63,4,109.0,14059,#293f04
4,8,0,4,35,56,19,110.0,18576,#233813
5,10,0,5,47,70,23,139.0,17333,#2f4617
6,11,0,6,56,83,8,148.0,11695,#385308
7,15,0,7,59,86,29,173.0,13905,#3b561d
8,17,0,8,80,91,27,196.0,7064,#505b1b
9,18,0,9,75,109,13,198.0,7285,#4b6d0d
10,19,0,10,71,104,37,212.0,9784,#476825
11,22,0,11,90,117,40,246.0,11427,#5a7528
12,24,0,12,100,137,21,258.0,3875,#648915
13,28,0,13,104,134,50,287.0,8353,#688632
14,31,0,14,122,154,57,330.0,6426,#7a9a39
15,36,0,15,142,176,69,382.0,3262,#8eb045
16,43,0,16,182,213,82,471.0,961,#b6d552
17,1,1,0,29,19,6,56.0,21798,#1d1306
18,6,1,1,56,39,12,108.0,32393,#38270c
19,12,1,2,74,58,32,164.0,28473,#4a3a20
20,13,1,3,91,59,13,165.0,19052,#5b3b0d
21,20,1,4,97,77,42,216.0,40966,#614d2a
22,23,1,5,133,83,32,249.0,14262,#855320
23,26,1,6,114,93,59,265.0,41992,#725d3b
24,29,1,7,134,110,64,308.0,39571,#866e40
25,33,1,8,138,115,85,338.0,25812,#8a7355
26,34,1,9,177,114,61,352.0,10749,#b1723d
27,35,1,10,156,130,82,370.0,42379,#9c8252
28,39,1,11,171,144,99,414.0,47611,#ab9063
29,41,1,12,186,160,115,460.0,40044,#baa073
30,42,1,13,216,152,97,464.0,9087,#d89861
31,45,1,14,203,177,131,510.0,30060,#cbb183
32,47,1,15,223,196,149,567.0,20041,#dfc495
33,49,1,16,235,218,185,636.0,10103,#ebdab9
34,2,2,0,16,23,16,57.0,32629,#101710
35,5,2,1,26,37,27,92.0,45536,#1a251b
36,9,2,2,37,53,38,129.0,41005,#253526
37,14,2,3,53,73,44,171.0,25275,#35492c
38,16,2,4,50,67,66,184.0,15268,#324342
39,21,2,5,73,94,56,222.0,25008,#495e38
40,25,2,6,76,97,84,258.0,12207,#4c6154
41,27,2,7,95,116,67,279.0,23224,#5f7443
42,30,2,8,105,125,99,328.0,14765,#697d63
43,32,2,9,118,139,78,336.0,18725,#768b4e
44,37,2,10,138,161,92,390.0,15179,#8aa15c
45,38,2,11,131,149,120,400.0,14241,#839578
46,40,2,12,159,181,113,450.0,13521,#9fb571
47,44,2,13,161,174,150,485.0,10060,#a1ae96
48,46,2,14,186,206,138,529.0,7881,#bace8a
49,48,2,15,198,206,183,588.0,8311,#c6ceb7
50,50,2,16,229,234,216,676.0,5632,#e5ead8
