,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,1,0,0,37,41,33,113.18667291327061,155818,#252921
1,3,0,1,74,76,62,213.54154774031528,198302,#4a4c3e
2,5,0,2,110,110,90,311.1602090698027,171426,#6e6e5a
3,8,0,3,158,146,119,424.96472920143214,127641,#9e9277
4,9,0,4,204,193,166,564.3961241654383,46132,#ccc1a6
5,0,1,0,29,34,9,73.83470112333391,51543,#1d2209
6,2,1,1,72,72,24,169.61373534338358,65670,#484818
7,4,1,2,106,98,41,247.07398226334558,75437,#6a6229
8,6,1,3,138,123,62,325.02865502507893,64596,#8a7b3e
9,7,1,4,168,155,85,410.1603315298722,43435,#a89b55
