,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,5,0,0,45,48,43,137.0,124009,#2d302b
1,11,0,1,86,87,78,252.0,158956,#56574e
2,15,0,2,131,131,116,378.0,100191,#838374
3,19,0,3,192,189,168,548.0,38014,#c0bda8
4,0,1,0,21,34,3,60.0,15016,#152203
5,4,1,1,51,71,14,135.0,12573,#33470e
6,8,1,2,85,120,30,231.0,5994,#55781e
7,16,1,3,150,206,59,415.0,3064,#96ce3b
8,3,2,0,53,47,32,133.0,50058,#352f20
9,10,2,1,100,87,58,246.0,73333,#64573a
10,14,2,2,151,127,82,360.0,103984,#977f52
11,18,2,3,186,157,115,455.0,63079,#ba9d73
12,2,3,0,31,45,25,102.0,46044,#1f2d19
13,7,3,1,63,84,48,195.0,45079,#3f5430
14,12,3,2,97,124,74,295.0,32987,#617c4a
15,17,3,3,145,183,100,424.0,11862,#91b764
16,1,4,0,33,27,7,68.0,14787,#211b07
17,6,4,1,80,72,19,172.0,29484,#504813
18,9,4,2,107,95,35,236.0,40563,#6b5f23
19,13,4,3,133,115,52,299.0,30923,#857334
