,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,7,0,0,70,67,55,66.88945196538046,2773,#464337
1,15,0,1,86,83,66,82.7231979385348,18482,#565342
2,21,0,2,96,92,73,91.61482631731221,27651,#605c49
3,26,0,3,105,100,80,99.72784156962594,26707,#696450
4,30,0,4,115,108,88,108.18505835332785,30425,#736c58
5,36,0,5,123,115,94,115.36580383399107,38263,#7b735e
6,39,0,6,130,121,100,122.12760539579389,39086,#827964
7,41,0,7,138,128,107,129.35963856733392,43262,#8a806b
8,44,0,8,146,135,113,136.06735383235014,48482,#928771
9,45,0,9,154,143,122,144.3057673932751,24268,#9a8f7a
10,46,0,10,166,155,133,156.11266269096183,23434,#a69b85
11,47,0,11,176,165,144,166.23216911463186,16095,#b0a590
12,1,1,0,50,55,45,53.129886177379326,19743,#32372d
13,3,1,1,56,61,51,58.57647665938936,30689,#383d33
14,6,1,2,63,69,56,66.13117475065431,28274,#3f4538
15,9,1,3,69,76,62,72.71032163793103,37120,#454c3e
16,12,1,4,77,82,67,79.08188811850803,42360,#4d5243
17,17,1,5,83,88,72,85.06416325362447,45248,#535848
18,20,1,6,89,93,77,90.78467171051146,44285,#595d4d
19,24,1,7,96,100,83,97.60425930202813,27365,#606453
20,29,1,8,105,109,89,105.8637146486718,23340,#696d59
21,33,1,9,112,116,97,113.33062762198541,21396,#707461
22,37,1,10,119,122,107,119.96628792220496,17379,#777a6b
23,43,1,11,135,137,116,134.37629560838033,2482,#878974
24,4,2,0,66,60,41,60.13641295503212,2802,#423c29
25,10,2,1,80,72,52,72.93903822208614,9798,#504834
26,14,2,2,88,80,59,80.55360469658963,18737,#58503b
27,18,2,3,95,86,64,86.94104297524436,21894,#5f5640
28,22,2,4,102,92,69,92.97974593954699,25342,#665c45
29,25,2,5,109,96,73,97.77746419482031,22318,#6d6049
30,28,2,6,115,103,79,103.98975423363876,19971,#73674f
31,32,2,7,121,108,83,109.34997738114959,24148,#796c53
32,35,2,8,126,114,88,114.98813273387162,24522,#7e7258
33,38,2,9,131,119,92,120.2208324675781,28453,#83775c
34,40,2,10,138,124,98,125.76422576865856,16132,#8a7c62
35,42,2,11,147,131,105,133.28399200883,11325,#938369
36,0,3,0,46,51,33,48.12912114102247,4049,#2e3321
37,2,3,1,53,58,39,54.76138090666666,7500,#353a27
38,5,3,2,60,66,45,62.25045277437155,6524,#3c422d
39,8,3,3,67,73,50,68.97433682791434,6305,#434932
40,11,3,4,73,79,54,74.57570425107589,9527,#494f36
41,13,3,5,78,83,59,79.51029330566341,14938,#4e533b
42,16,3,6,83,87,62,83.7124297564242,11947,#53573e
43,19,3,7,89,92,66,88.71283864713011,9077,#595c42
44,23,3,8,94,99,70,94.74386665377175,7755,#5e6346
45,27,3,9,102,108,75,102.47350317288345,6461,#666c4b
46,31,3,10,107,114,79,108.42983139715548,8367,#6b724f
47,34,3,11,114,120,87,114.82409102600742,3499,#727857
