,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,7,0,0,72,69,56,68.8808,2773,#484538
1,15,0,1,87,84,67,83.0904,18482,#575443
2,21,0,2,96,93,74,91.8955,27651,#605d4a
3,26,0,3,106,100,81,99.753,26707,#6a6451
4,30,0,4,115,109,88,108.2144,30425,#736d58
5,36,0,5,123,116,94,115.2738,38263,#7b745e
6,39,0,6,131,122,101,122.0174,39086,#837a65
7,41,0,7,139,129,107,129.3048,43262,#8b816b
8,44,0,8,146,135,114,135.9836,48482,#928772
9,45,0,9,154,143,122,143.9828,24268,#9a8f7a
10,46,0,10,167,155,134,156.20959999999997,23434,#a79b86
11,47,0,11,176,164,143,165.0624,16095,#b0a48f
12,1,1,0,51,56,46,53.701899999999995,19743,#33382e
13,3,1,1,56,61,52,58.2993,30689,#383d34
14,6,1,2,63,69,57,66.1368,28274,#3f4539
15,9,1,3,70,76,62,72.8418,37120,#464c3e
16,12,1,4,77,82,67,79.0862,42360,#4d5243
17,17,1,5,84,88,72,84.99940000000001,45248,#545848
18,20,1,6,90,94,78,90.874,44285,#5a5e4e
19,24,1,7,97,101,83,97.36169999999998,27365,#616553
20,29,1,8,105,109,89,105.90480000000001,23340,#696d59
21,33,1,9,113,117,97,113.0936,21396,#717561
22,37,1,10,119,123,107,119.794,17379,#777b6b
23,42,1,11,133,135,116,131.98930000000001,2482,#858774
24,4,2,0,68,62,42,61.724399999999996,2802,#443e2a
25,10,2,1,81,73,53,73.27799999999999,9798,#514935
26,14,2,2,89,81,60,80.77189999999999,18737,#59513c
27,18,2,3,95,87,65,86.98849999999999,21894,#5f5741
28,22,2,4,102,93,70,92.9879,25342,#665d46
29,25,2,5,109,97,74,97.8519,22318,#6d614a
30,28,2,6,115,103,79,103.9222,19971,#73674f
31,32,2,7,122,108,84,109.3068,24148,#7a6c54
32,35,2,8,126,115,88,114.92110000000001,24522,#7e7358
33,38,2,9,132,120,93,120.09469999999999,28453,#84785d
34,40,2,10,138,125,98,125.6103,16132,#8a7d62
35,43,2,11,147,131,106,132.9409,11325,#93836a
36,0,3,0,47,52,34,48.893499999999996,4049,#2f3422
37,2,3,1,53,58,40,54.8606,7500,#353a28
38,5,3,2,61,66,46,62.2081,6524,#3d422e
39,8,3,3,68,73,51,68.99019999999999,6305,#444933
40,11,3,4,73,79,55,74.7015,9527,#494f37
41,13,3,5,79,84,60,79.701,14938,#4f543c
42,16,3,6,83,88,64,83.36479999999999,11947,#535840
43,19,3,7,89,93,67,88.3643,9077,#595d43
44,23,3,8,95,99,71,94.3807,7755,#5f6347
45,27,3,9,102,108,75,102.7003,6461,#666c4b
46,31,3,10,108,114,80,108.36229999999999,8367,#6c7250
47,34,3,11,114,120,87,114.1337,3499,#727857
