,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,1,0,0,48,53,39,50.76836411564626,2940,#303527
1,5,0,1,55,60,45,57.43619236681222,5725,#373c2d
2,8,0,2,62,68,51,64.47955903822869,5781,#3e4433
3,13,0,3,69,75,55,71.17067600911459,6144,#454b37
4,16,0,4,75,80,60,76.74878727127287,10001,#4b503c
5,20,0,5,80,85,63,81.1833749757517,10310,#50553f
6,24,0,6,84,89,67,85.48288934185983,7506,#545943
7,28,0,7,89,94,71,90.48817401896665,6116,#595e47
8,33,0,8,96,101,76,96.87488395654898,4787,#60654c
9,38,0,9,102,108,80,103.34181539698493,4975,#666c50
10,41,0,10,108,114,85,109.3839584256998,5323,#6c7255
11,44,0,11,115,120,91,115.77288267915016,2777,#73785b
12,4,1,0,60,56,41,56.091761047120414,955,#3c3829
13,11,1,1,73,70,52,69.41874072140484,2107,#494634
14,17,1,2,83,79,58,78.1511792120704,5965,#534f3a
15,21,1,3,87,83,66,82.87478337918053,6907,#575342
16,25,1,4,95,85,63,86.00862697121401,4794,#5f553f
17,27,1,5,94,90,72,89.52905747076657,6927,#5e5a48
18,30,1,6,104,92,68,93.13236821718537,5912,#685c44
19,32,1,7,102,96,77,96.12998653347172,7708,#66604d
20,34,1,8,111,94,72,97.40932799726356,5847,#6f5e48
21,37,1,9,109,103,82,103.07947004004369,5494,#6d6752
22,43,1,10,117,111,91,110.7653895923913,3680,#756f5b
23,46,1,11,125,119,102,119.38736823116218,3132,#7d7766
24,0,2,0,44,50,29,46.24268642936596,899,#2c321d
25,2,2,1,51,57,35,52.9680253063399,1877,#333923
26,7,2,2,57,63,41,59.36812313472893,1863,#393f29
27,9,2,3,63,69,45,65.35956786454734,1447,#3f452d
28,12,2,4,69,75,49,70.73835668202764,1519,#454b31
29,15,2,5,75,81,52,76.44048644400786,2036,#4b5134
30,19,2,6,79,85,56,80.37321223628692,2370,#4f5538
31,23,2,7,84,90,60,85.47276027475672,1747,#545a3c
32,29,2,8,90,97,64,91.51577049306626,1298,#5a6140
33,35,2,9,97,103,69,97.66883087797619,1344,#616745
34,39,2,10,103,110,73,104.40493718566077,1869,#676e49
35,42,2,11,109,116,78,110.10979061488672,1545,#6d744e
36,3,3,0,50,55,46,53.05146751832687,9276,#32372e
37,6,3,1,55,60,52,58.32924515628307,14173,#373c34
38,10,3,2,62,69,57,65.77331311074276,12669,#3e4539
39,14,3,3,68,75,62,71.98344807352017,17519,#444b3e
40,18,3,4,76,81,67,78.35221577303192,17606,#4c5143
41,22,3,5,81,86,72,83.67937039355505,18371,#515648
42,26,3,6,87,91,78,88.85770665180667,17048,#575b4e
43,31,3,7,92,97,83,94.20298242971886,11952,#5c6153
44,36,3,8,100,104,88,101.42194777224718,8237,#646858
45,40,3,9,107,111,95,108.8518949474398,8847,#6b6f5f
46,45,3,10,115,118,102,115.81989671765778,9871,#737666
47,47,3,11,121,124,110,121.98813007290401,6584,#797c6e
