,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,1,0,0,49,54,40,51.203,2940,#313628
1,5,0,1,56,61,45,57.2024,5725,#383d2d
2,8,0,2,63,68,51,64.365,5781,#3f4433
3,13,0,3,70,75,56,71.20719999999999,6144,#464b38
4,16,0,4,76,81,60,76.88619999999999,10001,#4c513c
5,20,0,5,80,85,63,80.99980000000001,10310,#50553f
6,23,0,6,85,89,67,85.23360000000001,7506,#555943
7,28,0,7,90,94,72,90.21610000000001,6116,#5a5e48
8,33,0,8,96,101,76,96.98740000000001,4787,#60654c
9,38,0,9,103,108,81,103.25339999999998,4975,#676c51
10,41,0,10,109,115,85,109.23119999999999,5323,#6d7355
11,44,0,11,115,120,92,115.1552,2777,#73785c
12,4,1,0,61,57,42,56.882000000000005,955,#3d392a
13,11,1,1,74,71,53,69.91929999999999,2107,#4a4735
14,17,1,2,83,79,59,78.19579999999999,5965,#534f3b
15,21,1,3,87,84,66,82.9503,6907,#575442
16,25,1,4,95,86,64,86.0811,4794,#5f5640
17,27,1,5,95,90,72,89.7216,6927,#5f5a48
18,30,1,6,104,92,69,93.10815,5912,#685c45
19,32,1,7,102,97,77,96.0477,7708,#66614d
20,34,1,8,111,95,72,97.0908,5847,#6f5f48
21,37,1,9,109,103,83,102.9483,5494,#6d6753
22,43,1,10,117,111,92,110.83664999999999,3680,#756f5c
23,46,1,11,124,120,102,118.9575,3132,#7c7866
24,0,2,0,45,51,30,46.8784,899,#2d331e
25,2,2,1,51,57,36,52.9918,1877,#333924
26,7,2,2,58,64,41,59.2192,1863,#3a4029
27,9,2,3,64,70,46,65.2572,1447,#40462e
28,12,2,4,69,75,50,70.87599999999999,1519,#454b32
29,15,2,5,76,81,53,76.3655,2036,#4c5135
30,19,2,6,79,85,57,80.2341,2370,#4f5539
31,24,2,7,85,91,60,85.3646,1747,#555b3c
32,29,2,8,91,97,65,91.381,1298,#5b6141
33,35,2,9,97,104,70,97.84719999999999,1344,#616846
34,39,2,10,104,111,74,104.3967,1869,#686f4a
35,42,2,11,109,116,78,109.8029,1545,#6d744e
36,3,3,0,50,56,47,53.34909999999999,9276,#32382f
37,6,3,1,56,61,52,58.0713,14173,#383d34
38,10,3,2,63,69,57,65.89179999999999,12669,#3f4539
39,14,3,3,69,75,63,72.06989999999999,17519,#454b3f
40,18,3,4,76,82,68,78.36359999999999,17606,#4c5244
41,22,3,5,82,87,73,83.8407,18371,#525749
42,26,3,6,87,92,78,88.85719999999999,17048,#575c4e
43,31,3,7,93,97,83,94.0847,11952,#5d6153
44,36,3,8,100,104,89,101.3613,8237,#646859
45,40,3,9,108,112,95,108.8722,8847,#6c705f
46,45,3,10,115,119,103,115.9084,9871,#737767
47,47,3,11,121,124,110,121.213,6584,#797c6e
