,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,4,0,0,81,84,60,80.80706116248349,757,#51543c
1,5,0,1,87,90,67,86.74412125813448,2766,#575a43
2,8,0,2,90,93,71,90.2713604656745,4166,#5a5d47
3,11,0,3,94,96,74,93.35199182200842,3326,#5e604a
4,13,0,4,98,100,77,97.38487375063099,1981,#62644d
5,16,0,5,104,106,82,102.80569622057,1614,#686a52
6,20,0,6,110,112,88,108.96069516678013,1469,#6e7058
7,25,0,7,116,118,93,114.766277124183,1530,#74765d
8,29,0,8,122,124,99,120.84934481327801,964,#7a7c63
9,34,0,9,130,132,108,129.13415402097903,572,#82846c
10,40,0,10,140,141,118,138.765724009901,404,#8c8d76
11,45,0,11,160,162,137,159.13000833333334,60,#a0a289
12,0,1,0,75,65,44,65.6640821686747,1245,#4b412c
13,1,1,1,83,73,52,73.75823736124326,3153,#534934
14,2,1,2,89,79,58,80.49546038897095,4062,#594f3a
15,6,1,3,96,86,63,86.84969522727272,4400,#60563f
16,10,1,4,103,92,68,93.02007000487329,4104,#675c44
17,14,1,5,111,98,74,99.58446799628942,4312,#6f624a
18,18,1,6,118,103,79,105.02540518953069,6648,#76674f
19,21,1,7,123,107,83,109.30732915496912,7124,#7b6b53
20,24,1,8,127,112,87,113.90408920697598,6078,#7f7057
21,28,1,9,132,117,91,118.7698034080876,5663,#84755b
22,31,1,10,137,121,95,123.22157995517928,4016,#89795f
23,37,1,11,147,128,103,131.28174524495677,1041,#938067
24,9,2,0,96,93,75,92.07050797773655,2695,#605d4b
25,17,2,1,108,103,84,103.00806153531218,4885,#6c6754
26,23,2,2,117,112,91,111.64858459984285,8909,#75705b
27,27,2,3,125,118,97,117.80840411346135,10259,#7d7661
28,32,2,4,131,123,102,123.63775702615968,10283,#837b66
29,35,2,5,137,129,108,129.2814468777913,12315,#89816c
30,38,2,6,143,134,112,134.44748781732127,16269,#8f8670
31,41,2,7,149,139,117,139.6638852530889,12545,#958b75
32,43,2,8,156,145,123,146.18122788788554,8527,#9c917b
33,44,2,9,164,153,131,154.30459286494755,9152,#a49983
34,46,2,10,171,160,138,161.61841148104497,10182,#aba08a
35,47,2,11,180,169,147,169.9580308913309,4095,#b4a993
36,3,3,0,86,81,61,80.6710236078199,3376,#56513d
37,7,3,1,93,89,68,88.25610935283204,9163,#5d5944
38,12,3,2,100,94,73,93.98899250433276,9232,#645e49
39,15,3,3,107,100,78,99.9178924246169,8092,#6b644e
40,19,3,4,113,106,83,105.83484147534014,9408,#716a53
41,22,3,5,120,111,87,111.4224194643782,13517,#786f57
42,26,3,6,126,116,91,116.72273898060007,16598,#7e745b
43,30,3,7,131,120,95,121.0732217847098,15644,#83785f
44,33,3,8,136,124,99,125.33061767724278,11693,#887c63
45,36,3,9,142,129,104,130.10109984291825,11459,#8e8168
46,39,3,10,147,133,108,134.65303548448688,10475,#93856c
47,42,3,11,154,138,113,140.28103324887388,3552,#9a8a71
