,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,4,0,0,82,85,61,81.8857,757,#52553d
1,5,0,1,88,90,67,86.8852,2766,#585a43
2,8,0,2,91,94,71,90.2547,4166,#5b5e47
3,10,0,3,94,97,74,93.17269999999999,3326,#5e614a
4,13,0,4,98,101,78,97.17229999999999,1981,#62654e
5,16,0,5,104,106,83,102.8836,1614,#686a53
6,20,0,6,110,112,88,109.01400000000001,1469,#6e7058
7,25,0,7,116,118,94,114.877,1530,#74765e
8,29,0,8,122,124,100,120.6538,964,#7a7c64
9,34,0,9,131,132,109,128.995,572,#83846d
10,40,0,10,140,141,118,137.9402,404,#8c8d76
11,45,0,11,159,160,136,157.13399999999996,60,#9fa088
12,0,1,0,76,66,45,66.7795,1245,#4c422d
13,1,1,1,83,73,53,73.9898,3153,#534935
14,2,1,2,90,80,59,80.7118,4062,#5a503b
15,6,1,3,96,86,64,86.89150000000001,4400,#605640
16,9,1,4,103,92,69,92.9233,4104,#675c45
17,14,1,5,111,99,74,99.84089999999999,4312,#6f634a
18,18,1,6,118,103,79,104.94369999999999,6648,#76674f
19,21,1,7,123,107,83,109.1497,7124,#7b6b53
20,24,1,8,128,112,87,113.86110000000001,6078,#807057
21,28,1,9,132,117,91,118.8714,5663,#84755b
22,31,1,10,137,121,95,122.92030000000001,4016,#89795f
23,37,1,11,147,128,103,131.1152,1041,#938067
24,11,2,0,97,95,76,93.6118,2695,#615f4c
25,17,2,1,109,104,84,103.1933,4885,#6d6854
26,23,2,2,118,113,92,111.9752,8909,#76715c
27,27,2,3,125,118,98,117.96379999999999,10259,#7d7662
28,32,2,4,132,124,103,123.76759999999999,10283,#847c67
29,35,2,5,138,129,108,129.2123,12315,#8a816c
30,38,2,6,144,134,113,134.30429999999998,16269,#908671
31,42,2,7,149,139,118,139.7552,12545,#958b76
32,43,2,8,156,145,124,145.9934,8527,#9c917c
33,44,2,9,165,154,131,154.1452,9152,#a59a83
34,46,2,10,172,161,138,161.1445,10182,#aca18a
35,47,2,11,179,168,147,168.99110000000002,4095,#b3a893
36,3,3,0,87,82,62,81.744,3376,#57523e
37,7,3,1,94,90,68,88.21640000000001,9163,#5e5a44
38,12,3,2,100,95,73,93.9878,9232,#645f49
39,15,3,3,107,100,78,99.9764,8092,#6b644e
40,19,3,4,114,106,83,105.98659999999998,9408,#726a53
41,22,3,5,120,112,87,111.3066,13517,#787057
42,26,3,6,126,117,91,116.8392,16598,#7e755b
43,30,3,7,131,121,95,121.0945,15644,#83795f
44,33,3,8,136,125,99,125.12650000000001,11693,#887d63
45,36,3,9,142,129,104,130.126,11459,#8e8168
46,39,3,10,148,133,108,134.631,10475,#94856c
47,41,3,11,153,137,113,139.1467,3552,#998971
