,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,0,0,0,0,0,0,1.0,1370,#000000
1,69,0,1,255,233,236,724.0,17,#ffe9ec
2,70,0,2,241,255,232,729.0,61,#f1ffe8
3,71,0,3,255,221,255,731.0,15,#ffddff
4,72,0,4,233,255,243,731.0,33,#e9fff3
5,73,0,5,255,255,227,737.0,38,#ffffe3
6,74,0,6,255,229,255,738.0,115,#ffe5ff
7,75,0,7,233,255,255,743.0,80,#e9ffff
8,76,0,8,244,255,244,743.0,61,#f4fff4
9,77,0,9,255,255,237,747.0,141,#ffffed
10,78,0,10,242,255,253,750.0,193,#f2fffd
11,79,0,11,252,255,246,752.0,111,#fcfff6
12,80,0,12,255,246,255,755.0,164,#fff6ff
13,81,0,13,255,254,250,757.0,146,#fffefa
14,82,0,14,251,255,255,759.0,169,#fbffff
15,83,0,15,255,251,255,760.0,306,#fffbff
16,84,0,16,255,255,255,765.0,887159,#ffffff
17,6,1,0,61,0,31,91.0,2659,#3d001f
18,16,1,1,95,1,63,159.0,1895,#5f013f
19,22,1,2,128,0,63,191.0,1413,#80003f
20,30,1,3,126,0,96,223.0,3362,#7e0060
21,33,1,4,159,0,89,249.0,2814,#9f0059
22,44,1,5,191,0,95,286.0,1412,#bf005f
23,45,1,6,159,0,128,287.0,1420,#9f0080
24,51,1,7,224,0,96,320.0,1354,#e00060
25,52,1,8,161,0,160,321.0,1218,#a100a0
26,54,1,9,191,0,139,330.0,2769,#bf008b
27,56,1,10,223,0,127,350.0,1314,#df007f
28,58,1,11,255,0,98,353.0,2718,#ff0062
29,61,1,12,229,0,159,391.0,2755,#e5009f
30,62,1,13,222,0,191,411.0,2682,#de00bf
31,65,1,14,255,0,190,445.0,1376,#ff00be
32,66,1,15,255,1,222,478.0,1377,#ff01de
33,68,1,16,255,0,254,509.0,1305,#ff00fe
34,1,2,0,0,0,5,5.0,19,#000005
35,3,2,1,0,1,31,32.0,1374,#00011f
36,5,2,2,1,0,64,65.0,1430,#010040
37,9,2,3,0,1,94,95.0,1335,#00015e
38,10,2,4,27,2,94,123.0,52,#1b025e
39,13,2,5,0,0,126,126.0,1391,#00007e
40,15,2,6,0,0,158,158.0,1349,#00009e
41,17,2,7,31,0,129,160.0,1373,#1f0081
42,21,2,8,31,0,158,189.0,1376,#1f009e
43,23,2,9,0,1,190,191.0,1352,#0001be
44,27,2,10,31,0,190,221.0,1363,#1f00be
45,28,2,11,0,0,222,222.0,1409,#0000de
46,37,2,12,0,0,254,254.0,1370,#0000fe
47,38,2,13,31,1,223,255.0,1366,#1f01df
48,43,2,14,32,0,254,286.0,1412,#2000fe
49,46,2,15,64,0,223,287.0,1364,#4000df
50,49,2,16,63,0,255,318.0,1339,#3f00ff
51,2,3,0,30,0,2,32.0,1429,#1e0002
52,4,3,1,64,0,0,64.0,1320,#400000
53,8,3,2,94,0,0,94.0,1335,#5e0000
54,11,3,3,95,0,30,125.0,1229,#5f001e
55,14,3,4,126,0,1,127.0,1307,#7e0001
56,18,3,5,159,1,0,160.0,1335,#9f0100
57,19,3,6,128,1,31,160.0,1364,#80011f
58,24,3,7,159,0,32,191.0,1465,#9f0020
59,25,3,8,190,0,2,192.0,1321,#be0002
60,29,3,9,191,0,31,222.0,1371,#bf001f
61,32,3,10,223,1,0,224.0,1430,#df0100
62,34,3,11,190,0,62,252.0,1362,#be003e
63,35,3,12,254,0,0,254.0,1446,#fe0000
64,36,3,13,223,0,31,254.0,1349,#df001f
65,41,3,14,255,0,30,285.0,1297,#ff001e
66,42,3,15,223,0,63,286.0,1375,#df003f
67,48,3,16,254,0,62,316.0,1430,#fe003e
68,7,4,0,30,0,62,92.0,2675,#1e003e
69,12,4,1,31,0,94,125.0,1382,#1f005e
70,20,4,2,62,0,121,177.0,2659,#3e0079
71,26,4,3,95,0,126,221.0,1806,#5f007e
72,31,4,4,64,0,159,223.0,1368,#40009f
73,39,4,5,63,0,193,256.0,1398,#3f00c1
74,40,4,6,96,0,186,282.0,2751,#6000ba
75,47,4,7,128,0,161,289.0,1403,#8000a1
76,50,4,8,95,1,222,318.0,1415,#5f01de
77,53,4,9,126,0,197,327.0,2760,#7e00c5
78,55,4,10,95,0,254,349.0,1309,#5f00fe
79,57,4,11,159,0,191,350.0,1590,#9f00bf
80,59,4,12,127,0,255,382.0,1424,#7f00ff
81,60,4,13,159,0,225,384.0,1372,#9f00e1
82,63,4,14,194,0,223,421.0,2691,#c200df
83,64,4,15,173,0,254,427.0,2711,#ad00fe
84,67,4,16,224,0,255,479.0,1425,#e000ff
