,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,1,0,0,63,0,2,94.0,1373,#3f0002
1,5,0,1,122,34,2,159.0,1475,#7a2202
2,11,0,2,187,31,26,222.0,1826,#bb1f1a
3,13,0,3,128,3,64,223.0,1984,#800340
4,20,0,4,228,19,21,270.5,1264,#e41315
5,23,0,5,161,97,4,287.0,1661,#a16104
6,27,0,6,223,28,70,317.0,1775,#df1c46
7,33,0,7,189,31,131,349.0,1753,#bd1f83
8,34,0,8,189,94,89,349.0,1786,#bd5e59
9,36,0,9,248,95,25,350.0,1753,#f85f19
10,44,0,10,244,15,135,396.0,1256,#f40f87
11,45,0,11,247,70,83,400.0,1203,#f74653
12,53,0,12,223,160,27,414.0,1386,#dfa01b
13,62,0,13,245,158,87,477.0,1876,#f59e57
14,63,0,14,250,95,147,477.0,1815,#fa5f93
15,64,0,15,254,31,195,477.0,1552,#fe1fc3
16,68,0,16,255,221,32,505.0,1091,#ffdd20
17,4,1,0,60,32,32,156.0,757,#3c2020
18,14,1,1,95,95,64,255.0,1433,#5f5f40
19,22,1,2,96,63,97,286.0,1109,#603f61
20,38,1,3,127,127,100,357.0,1896,#7f7f64
21,52,1,4,125,127,160,414.0,1400,#7d7fa0
22,56,1,5,163,164,97,444.0,1588,#a3a461
23,58,1,6,184,96,161,445.0,1848,#b860a1
24,71,1,7,129,192,160,509.0,1564,#81c0a0
25,74,1,8,159,159,224,541.0,1704,#9f9fe0
26,76,1,9,225,114,223,572.0,1908,#e172df
27,77,1,10,166,244,158,572.0,1295,#a6f49e
28,78,1,11,227,223,104,573.0,1939,#e3df68
29,79,1,12,223,161,162,573.0,2131,#dfa1a2
30,81,1,13,162,223,228,637.0,2064,#a2dfe4
31,82,1,14,244,185,229,649.0,1224,#f4b9e5
32,83,1,15,224,250,191,663.0,1781,#e0fabf
33,84,1,16,255,255,255,765.0,889583,#ffffff
34,6,2,0,1,63,63,159.0,1510,#013f3f
35,16,2,1,2,125,129,256.5,1350,#027d81
36,21,2,2,62,126,97,283.0,934,#3e7e61
37,24,2,3,7,161,101,289.5,1190,#07a165
38,35,2,4,12,127,197,349.5,690,#0c7fc5
39,39,2,5,7,165,179,357.5,1276,#07a5b3
40,41,2,6,63,159,190,382.0,819,#3f9fbe
41,47,2,7,27,228,152,409.0,1140,#1be498
42,51,2,8,64,191,128,413.0,1195,#40bf80
43,54,2,9,23,171,245,432.0,1201,#17abf5
44,57,2,10,14,250,191,445.0,655,#0efabf
45,60,2,11,64,191,196,469.0,670,#40bfc4
46,66,2,12,0,240,225,478.0,907,#00f0e1
47,70,2,13,95,254,189,509.0,1340,#5ffebd
48,72,2,14,95,190,254,509.0,987,#5fbefe
49,75,2,15,62,227,254,541.0,923,#3ee3fe
50,80,2,16,102,251,251,598.0,1258,#66fbfb
51,2,3,0,25,1,64,110.0,1463,#190140
52,7,3,1,26,32,129,190.0,1450,#1a2081
53,8,3,2,4,1,190,195.0,923,#0401be
54,12,3,3,64,28,127,222.0,1619,#401c7f
55,18,3,4,15,27,230,266.0,1212,#0f1be6
56,25,3,5,126,1,164,309.0,1477,#7e01a4
57,26,3,6,65,1,223,316.0,1221,#4101df
58,28,3,7,14,64,222,318.0,1390,#0e40de
59,30,3,8,66,63,189,319.0,1090,#423fbd
60,40,3,9,91,63,254,381.0,956,#5b3ffe
61,42,3,10,29,122,255,382.0,566,#1d7aff
62,46,3,11,152,20,248,407.0,1237,#9814f8
63,48,3,12,131,63,192,412.0,1058,#833fc0
64,55,3,13,76,120,248,437.5,1216,#4c78f8
65,59,3,14,191,1,224,446.0,1215,#bf01e0
66,65,3,15,156,95,254,478.0,1387,#9c5ffe
67,73,3,16,223,63,255,512.0,940,#df3fff
68,0,4,0,27,63,0,93.0,798,#1b3f00
69,3,4,1,23,99,4,136.0,1190,#176304
70,9,4,2,64,126,4,196.0,1066,#407e04
71,10,4,3,2,190,27,218.0,1331,#02be1b
72,15,4,4,31,159,64,255.0,978,#1f9f40
73,17,4,5,69,180,9,265.0,1223,#45b409
74,19,4,6,23,227,8,269.0,1200,#17e308
75,29,4,7,127,160,31,319.0,1273,#7fa01f
76,31,4,8,79,227,8,327.0,1200,#4fe308
77,32,4,9,11,227,88,331.0,1278,#0be358
78,37,4,10,95,191,64,354.0,1149,#5fbf40
79,43,4,11,162,221,4,384.0,1086,#a2dd04
80,49,4,12,74,254,95,413.0,1315,#4afe5f
81,50,4,13,129,254,30,413.0,1248,#81fe1e
82,61,4,14,223,254,10,477.0,1113,#dffe0a
83,67,4,15,133,254,95,479.0,914,#85fe5f
84,69,4,16,191,254,64,509.0,1120,#bffe40
