,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,1,0,0,34,35,32,102.0,25556,#222320
1,7,0,1,71,71,64,206.0,23900,#474740
2,13,0,2,106,107,99,311.0,19737,#6a6b63
3,17,0,3,153,153,143,446.0,6354,#99998f
4,5,1,0,63,58,47,169.0,104471,#3f3a2f
5,10,1,1,97,90,76,263.0,144821,#615a4c
6,15,1,2,133,125,108,366.0,110741,#857d6c
7,19,1,3,176,163,144,479.0,62234,#b0a390
8,0,2,0,21,32,6,61.0,9951,#152006
9,3,2,1,47,61,23,131.0,17199,#2f3d17
10,6,2,2,71,95,40,204.0,12663,#475f28
11,11,2,3,99,133,61,289.0,5976,#63853d
12,4,3,0,50,55,41,147.0,79599,#323729
13,9,3,1,84,93,71,248.0,105179,#545d47
14,14,3,2,117,132,102,349.0,80044,#758466
15,18,3,3,160,175,144,476.0,26029,#a0af90
16,2,4,0,50,41,18,110.0,28427,#322912
17,8,4,1,94,82,33,208.0,47410,#5e5221
18,12,4,2,132,113,55,300.0,48399,#847137
19,16,4,3,167,141,85,393.0,41310,#a78d55
