,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,5,0,0,21,27,32,80.0,24500,#151b20
1,11,0,1,34,44,49,128.0,27850,#222c31
2,17,0,2,50,65,72,187.0,16029,#324148
3,19,0,3,27,76,120,224.0,13177,#1b4c78
4,24,0,4,73,91,101,263.0,9538,#495b65
5,27,0,5,63,101,133,298.0,13238,#3f6585
6,30,0,6,102,119,145,365.0,52602,#667791
7,33,0,7,115,131,152,398.0,43513,#738398
8,34,0,8,133,147,162,440.0,31673,#8593a2
9,36,0,9,151,165,176,491.0,30521,#97a5b0
10,39,0,10,167,180,189,536.0,39835,#a7b4bd
11,41,0,11,181,193,202,577.0,61341,#b5c1ca
12,42,0,12,192,204,211,608.0,56257,#c0ccd3
13,44,0,13,206,213,220,639.0,131166,#ced5dc
14,45,0,14,213,222,228,663.0,62821,#d5dee4
15,47,0,15,222,232,240,692.0,75234,#dee8f0
16,49,0,16,235,243,250,727.0,25736,#ebf3fa
17,0,1,0,8,13,3,26.0,9227,#080d03
18,2,1,1,15,24,11,51.0,13668,#0f180b
19,3,1,2,20,33,20,74.0,14756,#142114
20,4,1,3,24,40,10,74.0,7725,#18280a
21,7,1,4,27,43,28,98.0,15488,#1b2b1c
22,8,1,5,33,53,13,100.0,6406,#21350d
23,9,1,6,39,57,27,122.0,7596,#27391b
24,10,1,7,33,51,38,123.0,10659,#213326
25,13,1,8,48,72,23,144.0,3889,#304817
26,14,1,9,44,64,45,153.0,9450,#2c402d
27,15,1,10,62,86,39,185.0,3135,#3e5627
28,18,1,11,54,77,57,188.0,4838,#364d39
29,21,1,12,71,96,68,233.0,3146,#476044
30,22,1,13,84,115,42,239.0,1111,#54732a
31,26,1,14,97,124,80,298.0,1406,#617c50
32,31,1,15,129,164,87,381.0,890,#81a457
33,37,1,16,173,215,119,500.0,466,#add777
34,1,2,0,19,19,13,51.0,9179,#13130d
35,6,2,1,34,34,27,95.0,10338,#22221b
36,12,2,2,49,50,43,142.0,11150,#31322b
37,16,2,3,66,64,57,186.0,12409,#424039
38,20,2,4,87,75,63,225.0,9657,#574b3f
39,23,2,5,85,88,79,253.0,6655,#55584f
40,25,2,6,110,92,72,275.0,9361,#6e5c48
41,28,2,7,111,109,99,318.0,6298,#6f6d63
42,29,2,8,139,111,81,330.0,6291,#8b6f51
43,32,2,9,135,131,118,385.0,6273,#878376
44,35,2,10,156,152,141,448.0,5732,#9c988d
45,38,2,11,174,174,166,514.0,6049,#aeaea6
46,40,2,12,192,194,189,576.0,7563,#c0c2bd
47,43,2,13,207,211,208,627.0,11442,#cfd3d0
48,46,2,14,221,225,223,669.0,16875,#dde1df
49,48,2,15,234,237,235,705.0,20146,#eaedeb
50,50,2,16,248,252,249,748.0,15695,#f8fcf9
