,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,0,0,0,14,3,5,23.0,32186,#0e0305
1,3,0,1,30,10,14,53.0,21120,#1e0a0e
2,6,0,2,49,18,23,91.0,16342,#311217
3,8,0,3,71,28,32,131.0,14968,#471c20
4,12,0,4,95,38,40,173.0,13542,#5f2628
5,16,0,5,123,46,40,210.0,7637,#7b2e28
6,18,0,6,117,45,62,225.0,11370,#752d3e
7,20,0,7,137,51,61,251.0,13058,#89333d
8,22,0,8,163,62,38,264.0,4102,#a33e26
9,26,0,9,156,75,67,296.0,6944,#9c4b43
10,30,0,10,207,81,46,333.0,3258,#cf512e
11,32,0,11,184,88,77,349.0,6680,#b8584d
12,33,0,12,253,81,26,358.0,2545,#fd511a
13,38,0,13,216,110,87,415.0,5330,#d86e57
14,39,0,14,254,124,49,421.0,2612,#fe7c31
15,44,0,15,254,168,70,486.0,1783,#fea846
16,45,0,16,250,134,104,488.0,3966,#fa8668
17,1,1,0,10,6,11,26.0,14688,#0a060b
18,5,1,1,28,21,30,79.0,7709,#1c151e
19,10,1,2,41,33,73,147.0,24277,#292149
20,11,1,3,61,39,70,169.0,16804,#3d2746
21,13,1,4,51,42,85,179.0,28492,#332a55
22,15,1,5,59,51,97,207.0,33316,#3b3361
23,19,1,6,71,57,102,231.0,30087,#473966
24,21,1,7,78,66,112,256.0,21902,#4e4270
25,24,1,8,91,69,108,269.0,21316,#5b456c
26,25,1,9,92,76,122,290.0,21198,#5c4c7a
27,28,1,10,107,83,124,315.0,23708,#6b537c
28,31,1,11,120,93,133,345.0,18961,#785d85
29,34,1,12,111,99,149,359.0,6085,#6f6395
30,36,1,13,136,104,145,385.0,11656,#886891
31,40,1,14,144,119,163,424.0,10800,#9077a3
32,42,1,15,161,135,175,469.0,6405,#a187af
33,48,1,16,196,164,200,560.5,1552,#c4a4c8
34,2,2,0,12,6,9,28.0,48017,#0c0609
35,4,2,1,30,16,23,69.0,57160,#1e1017
36,7,2,2,46,26,35,107.0,59441,#2e1a23
37,9,2,3,63,36,46,145.0,51859,#3f242e
38,14,2,4,80,46,59,185.0,52403,#502e3b
39,17,2,5,99,56,70,224.0,43682,#633846
40,23,2,6,118,69,82,267.0,38309,#764552
41,27,2,7,124,82,108,313.0,19749,#7c526c
42,29,2,8,150,89,92,332.0,26284,#96595c
43,35,2,9,146,98,129,373.0,22106,#926281
44,37,2,10,179,105,107,393.0,23690,#b3696b
45,41,2,11,172,116,146,432.0,14995,#ac7492
46,43,2,12,215,129,130,477.0,18613,#d78182
47,46,2,13,210,151,184,545.0,14695,#d297b8
48,47,2,14,254,161,135,548.0,14932,#fea187
49,49,2,15,253,165,166,582.0,16074,#fda5a6
50,50,2,16,254,200,185,634.0,11592,#fec8b9
