,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,1,0,0,6,5,8,20.0,5099,#060508
1,3,0,1,23,18,25,66.0,2321,#171219
2,6,0,2,40,32,72,145.0,7957,#282048
3,8,0,3,64,38,70,170.0,2485,#402646
4,9,0,4,50,41,84,176.0,10174,#322954
5,10,0,5,59,50,97,207.0,12093,#3b3261
6,12,0,6,70,57,103,231.0,10849,#463967
7,14,0,7,79,66,113,258.0,7888,#4f4271
8,16,0,8,91,69,109,271.0,7878,#5b456d
9,17,0,9,95,77,122,295.0,7925,#5f4d7a
10,19,0,10,110,85,128,322.0,6938,#6e5580
11,21,0,11,123,95,135,352.0,5667,#7b5f87
12,22,0,12,111,100,149,359.0,2050,#6f6495
13,25,0,13,139,107,148,392.0,3753,#8b6b94
14,27,0,14,144,121,164,428.0,3428,#9079a4
15,30,0,15,161,135,175,471.0,2183,#a187af
16,33,0,16,196,164,200,560.0,483,#c4a4c8
17,0,1,0,0,0,0,1.0,665169,#000000
18,2,2,0,14,5,8,27.0,30449,#0e0508
19,4,2,1,34,16,22,72.0,29248,#221016
20,5,2,2,53,28,36,117.0,28308,#351c24
21,7,2,3,74,39,49,163.0,24607,#4a2731
22,11,2,4,93,52,67,210.0,21043,#5d3443
23,13,2,5,126,49,59,236.0,14239,#7e313b
24,15,2,6,114,70,85,267.0,15615,#724655
25,18,2,7,144,84,89,317.0,10512,#905459
26,20,2,8,185,80,60,325.0,4450,#b9503c
27,23,2,9,141,95,124,360.0,10226,#8d5f7c
28,24,2,10,178,104,105,388.0,8749,#b26869
29,26,2,11,252,112,48,407.0,2771,#fc7030
30,28,2,12,172,115,144,430.0,7167,#ac7390
31,29,2,13,222,127,119,470.0,6703,#de7f77
32,31,2,14,213,148,180,543.0,6958,#d594b4
33,32,2,15,253,161,141,554.0,7900,#fda18d
34,34,2,16,253,188,180,614.0,6715,#fdbcb4
